Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,123.000000,123.160004,119.580002,120.000000,117.758842,4095000
2020-01-08,119.550003,124.570000,119.230003,124.570000,122.243492,4502900
2020-01-15,125.000000,133.399994,124.879997,133.220001,130.731949,4901900
2020-01-22,133.800003,136.830002,133.270004,135.800003,133.263763,4609700
2020-01-29,136.000000,137.729996,134.820007,134.839996,132.321686,5278400
2020-02-05,134.559998,136.130005,134.089996,135.339996,132.812347,4677300
2020-02-12,134.520004,140.570007,134.500000,139.259995,137.166901,4379800
2020-02-19,139.070007,141.369995,132.770004,133.089996,131.089645,5809200
2020-02-26,132.949997,134.929993,120.620003,131.419998,129.444733,9884700
2020-03-04,133.070007,141.699997,131.300003,137.710007,135.640198,8747500
2020-03-11,135.350006,140.289993,114.279999,138.500000,136.418335,11051000
2020-03-18,129.610001,133.220001,92.000000,103.949997,102.387619,13443700
2020-03-25,103.769997,127.269997,101.349998,119.559998,117.763000,8976200
2020-04-01,115.000000,124.949997,110.559998,118.269997,116.492378,5973600
2020-04-08,119.260002,133.720001,117.650002,133.610001,131.601822,3799400
2020-04-15,131.389999,133.000000,123.779999,125.430000,123.544777,4876500
2020-04-22,127.919998,129.800003,124.419998,126.519997,124.618385,5102600
2020-04-29,127.669998,127.809998,118.300003,123.430000,121.574844,4434400
2020-05-06,123.779999,124.169998,115.550003,117.070000,115.310432,5315000
2020-05-13,116.989998,123.260002,112.500000,120.169998,118.917969,7007900
2020-05-20,121.279999,123.800003,119.300003,120.739998,119.482025,2688400
2020-05-27,122.040001,130.089996,118.050003,130.089996,128.734604,4957000
2020-06-03,130.279999,134.259995,128.729996,130.699997,129.338272,4668300
2020-06-10,131.000000,132.690002,124.730003,129.660004,128.309082,4453100
2020-06-17,130.000000,131.130005,124.879997,125.220001,123.915359,5053300
2020-06-24,124.339996,129.429993,120.669998,128.660004,127.319519,5381500
2020-07-01,128.449997,133.919998,128.449997,130.309998,128.952316,2743800
2020-07-08,130.399994,135.229996,128.759995,134.839996,133.435120,4257300
2020-07-15,135.000000,142.839996,133.399994,141.179993,139.709045,4068400
2020-07-22,140.929993,146.270004,140.210007,145.360001,143.845520,3719100
2020-07-29,145.940002,148.509995,145.399994,147.500000,145.963211,3464100
2020-08-05,148.190002,150.470001,141.710007,142.419998,140.936157,3369000
2020-08-12,143.130005,148.119995,142.800003,146.000000,145.013748,2745800
2020-08-19,146.750000,147.199997,142.220001,143.529999,142.560425,2496500
2020-08-26,142.380005,142.970001,138.850006,140.169998,139.223129,3394100
2020-09-02,140.399994,146.300003,139.750000,140.770004,139.819077,3377800
2020-09-09,142.020004,145.119995,140.279999,143.589996,142.620026,3223100
2020-09-16,143.850006,145.509995,137.009995,140.169998,139.223129,4297400
2020-09-23,140.649994,146.059998,138.039993,143.699997,142.729279,3551000
2020-09-30,144.630005,153.740005,144.139999,152.490005,151.459915,4754400
2020-10-07,153.940002,160.000000,152.910004,156.080002,155.025650,3312600
2020-10-14,155.619995,157.539993,152.610001,153.149994,152.115433,4116700
2020-10-21,153.419998,156.179993,151.850006,154.619995,153.575516,2994900
2020-10-28,152.759995,159.410004,149.229996,157.100006,156.038773,3713900
2020-11-04,158.259995,172.559998,155.250000,163.509995,162.405457,4608700
2020-11-11,164.490005,165.699997,158.880005,159.289993,158.755859,4451800
2020-11-18,160.669998,160.710007,152.880005,153.199997,152.686279,4386800
2020-11-25,153.979996,156.410004,151.110001,154.300003,153.782593,3474500
2020-12-02,154.729996,155.460007,147.899994,149.350006,148.849197,4673800
2020-12-09,150.089996,153.350006,146.539993,152.990005,152.476990,4954400
2020-12-16,153.830002,154.759995,147.029999,148.059998,147.563522,5596700
2020-12-23,148.949997,151.880005,147.350006,150.729996,150.224564,2216900
2020-12-30,150.899994,151.699997,150.259995,150.630005,150.124908,361800
