Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,27.080000,27.440001,27.080000,27.160000,25.702181,217312
2020-01-08,27.180000,27.469999,27.180000,27.400000,25.929298,290099
2020-01-15,27.450001,27.450001,27.219999,27.370001,25.900911,249148
2020-01-22,27.400000,27.459999,27.250000,27.440001,25.967154,253766
2020-01-29,27.430000,27.680000,27.370001,27.555000,26.075979,867696
2020-02-05,27.590000,27.719999,27.420000,27.660000,26.175343,312894
2020-02-12,27.700001,27.700001,27.545700,27.610001,26.128027,175115
2020-02-19,27.610001,27.645201,26.900000,26.990000,25.541304,304791
2020-02-26,27.010000,27.170000,26.350000,26.900000,25.456137,453019
2020-03-04,27.170000,27.350000,25.860001,26.500000,25.077606,544350
2020-03-11,26.299999,26.299999,24.514000,25.000000,23.658121,1222060
2020-03-18,24.650000,24.850000,19.959999,24.200001,22.901060,1558040
2020-03-25,24.200001,25.549999,24.180000,25.270000,23.913630,1007989
2020-04-01,24.900000,25.879999,24.469999,25.879999,24.852291,900502
2020-04-08,25.879999,26.500000,25.701300,26.170000,25.130775,418676
2020-04-15,26.049999,26.299999,25.480000,25.660000,24.641027,744448
2020-04-22,25.799999,26.400000,25.688000,26.183201,25.143452,348470
2020-04-29,26.360001,26.600000,26.170000,26.500000,25.447668,450205
2020-05-06,26.500000,26.680000,26.389999,26.629999,25.572508,220358
2020-05-13,26.629999,26.629999,26.110001,26.549999,25.495684,364563
2020-05-20,26.610001,26.870001,26.520000,26.830000,25.764565,126015
2020-05-27,26.930000,27.000000,26.709999,26.990000,25.918211,436779
2020-06-03,27.000000,27.120001,26.750000,26.950001,25.879799,666725
2020-06-10,27.020000,27.020000,26.400000,26.780001,25.716551,320178
2020-06-17,26.879999,26.879999,26.600000,26.680000,25.620523,254538
2020-06-24,26.770000,26.770000,26.190001,26.299999,25.255611,239790
2020-07-01,26.309999,26.549999,26.230000,26.382700,25.688705,153218
2020-07-08,26.430000,26.639900,26.330000,26.410000,25.715288,205277
2020-07-15,26.549999,27.020000,26.460501,27.010000,26.299503,163610
2020-07-22,27.020000,27.290001,26.959999,27.280001,26.562403,193827
2020-07-29,27.299999,27.580000,27.245199,27.320000,26.601351,175587
2020-08-05,27.450001,27.459999,27.040001,27.100000,26.387138,334495
2020-08-12,27.150000,27.290001,27.139999,27.240000,26.523453,224488
2020-08-19,27.240000,27.400000,27.240000,27.320000,26.601351,243320
2020-08-26,27.350000,27.410000,27.309999,27.360001,26.640297,216089
2020-09-02,27.370001,27.389999,26.870001,26.870001,26.163189,165726
2020-09-09,27.040001,27.319901,26.962799,27.299999,26.581875,549332
2020-09-16,27.309999,27.410000,27.133801,27.350000,26.630562,306495
2020-09-23,27.389999,27.500000,26.959999,27.500000,26.776615,280959
2020-09-30,27.219999,27.740000,27.120001,27.670000,26.942144,262282
2020-10-07,27.700001,27.830000,27.600000,27.700001,27.336357,235012
2020-10-14,27.709999,27.750000,27.400000,27.400000,27.040295,218123
2020-10-21,27.500000,27.520000,27.138201,27.290001,26.931740,347511
2020-10-28,27.200001,27.209999,26.770000,27.049999,26.694889,339462
2020-11-04,27.070000,27.400000,27.000000,27.160000,26.803446,175380
2020-11-11,27.170000,27.750500,27.170000,27.660000,27.296881,288467
2020-11-18,27.590000,27.830000,27.560301,27.700001,27.336357,209518
2020-11-25,27.750000,27.770000,27.270000,27.440001,27.079771,326404
2020-12-02,27.459999,27.680000,27.420000,27.660000,27.296881,212099
2020-12-09,27.610001,28.020000,27.610001,27.980000,27.612680,239330
2020-12-16,28.000000,28.150000,27.826799,27.879999,27.513992,305681
2020-12-23,27.950001,28.020000,27.740000,27.969999,27.602812,168000
2020-12-30,27.700001,27.700001,27.559999,27.620001,27.257408,37290
