Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,21.370001,21.700001,21.370001,21.429300,20.513813,18491
2020-01-08,21.650000,22.091999,21.487000,22.078501,21.135277,23942
2020-01-15,22.100000,22.350000,21.680000,22.299999,21.347313,21162
2020-01-22,22.080000,22.424700,22.000000,22.284000,21.331999,23671
2020-01-29,22.080000,23.010000,22.059999,23.000000,22.017408,18658
2020-02-05,22.799999,23.299999,22.610001,23.299999,22.304590,32316
2020-02-12,23.150000,23.225000,22.820000,23.000000,22.017408,8347
2020-02-19,22.799900,22.930000,21.990000,22.309999,21.530796,37746
2020-02-26,21.959999,22.540001,20.209999,21.750000,20.990355,69094
2020-03-04,21.760300,22.680000,19.690001,20.810801,20.083960,17676
2020-03-11,21.000000,21.000000,17.850000,18.280100,17.641647,71361
2020-03-18,17.110001,17.235701,11.600000,14.640000,14.128681,118286
2020-03-25,15.700000,19.020000,15.560000,19.020000,18.355703,56336
2020-04-01,17.219999,18.090000,16.602200,17.660000,17.043203,15155
2020-04-08,18.000000,19.590000,18.000000,19.200001,18.529417,18018
2020-04-15,19.049999,19.355700,18.590000,18.874800,18.215574,9797
2020-04-22,18.809999,19.760000,17.980000,18.986300,18.323183,29954
2020-04-29,19.500000,19.500000,18.860001,18.940001,18.278498,2443
2020-05-06,18.930000,19.990000,18.920000,19.930000,19.233923,17532
2020-05-13,19.780001,19.780001,18.750000,19.290001,18.616276,19050
2020-05-20,19.100000,19.379999,18.950001,19.342199,18.845289,19136
2020-05-27,19.250000,19.700100,19.120199,19.450100,18.950420,18520
2020-06-03,19.617800,19.968599,19.370001,19.854000,19.343945,32182
2020-06-10,19.875099,19.920000,18.809999,19.200001,18.706745,13123
2020-06-17,19.115801,19.500000,18.809999,19.049999,18.560598,18058
2020-06-24,18.930000,19.019899,18.600000,18.840000,18.355993,38463
2020-07-01,18.900000,19.040001,18.761999,19.040001,18.550856,8307
2020-07-08,18.969999,19.239901,18.890200,19.219999,18.726231,8653
2020-07-15,19.250000,19.410000,19.030001,19.389999,18.891863,15425
2020-07-22,19.320000,19.590000,19.250000,19.250000,18.755459,25816
2020-07-29,19.250000,20.090000,19.139999,19.990000,19.476448,33080
2020-08-05,19.900000,20.690001,19.799999,20.620001,20.090265,45057
2020-08-12,20.600000,20.940001,20.412300,20.889999,20.353325,14943
2020-08-19,20.740000,20.820000,20.400000,20.570000,20.225731,153348
2020-08-26,20.639999,21.028200,20.559999,20.740000,20.392885,45189
2020-09-02,20.639999,20.667999,20.400000,20.580000,20.235563,326666
2020-09-09,20.485001,20.895000,20.400000,20.895000,20.545292,48966
2020-09-16,20.940001,21.129999,20.309999,20.309999,19.970081,42963
2020-09-23,20.309999,20.850000,19.622000,20.850000,20.501045,31237
2020-09-30,20.580000,21.440001,20.459999,21.351500,20.994150,36454
2020-10-07,21.450001,21.730000,21.235001,21.709999,21.346651,28770
2020-10-14,21.650000,21.830000,21.545000,21.799999,21.435144,16602
2020-10-21,21.610100,22.080000,21.610001,21.850000,21.484308,27243
2020-10-28,21.966101,21.969999,21.600000,21.646500,21.284214,27080
2020-11-04,21.650000,21.969999,21.520000,21.809999,21.444977,30355
2020-11-11,21.885799,22.200001,21.770000,22.200001,21.828451,20018
2020-11-18,22.190001,22.200001,21.950001,21.999901,21.818502,23520
2020-11-25,22.170000,22.170000,21.790001,21.840000,21.659920,20726
2020-12-02,22.000000,22.010000,21.850000,21.937000,21.756121,27219
2020-12-09,22.000000,22.120001,21.870001,22.090000,21.907860,17368
2020-12-16,22.061399,22.260700,21.915001,22.150000,21.967363,37480
2020-12-23,22.200001,22.360001,22.000000,22.240000,22.056622,35536
2020-12-30,22.200001,22.350000,22.129999,22.278700,22.095003,5740
