Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,63.849998,64.180000,62.549999,63.930000,61.526836,53011400
2020-01-08,64.050003,66.989998,63.860001,66.440002,64.393921,96198100
2020-01-15,66.430000,67.620003,66.430000,67.430000,65.353424,46267600
2020-01-22,67.910004,68.339996,63.090000,64.809998,62.814106,84536000
2020-01-29,65.019997,65.089996,62.509998,64.290001,62.310127,62172200
2020-02-05,64.919998,67.800003,64.849998,66.989998,64.926971,65053400
2020-02-12,67.089996,67.500000,65.440002,66.070000,64.035301,41725800
2020-02-19,66.000000,66.050003,61.599998,62.139999,60.226334,59211700
2020-02-26,61.750000,63.389999,56.369999,59.200001,57.376881,97934700
2020-03-04,60.200001,61.680000,55.910000,57.930000,56.145992,95398500
2020-03-11,56.779999,57.959999,48.009998,54.090000,52.424244,104337800
2020-03-18,51.630001,52.389999,45.759998,49.240002,47.723610,105535100
2020-03-25,49.029999,56.240002,48.169998,55.740002,54.023434,103489000
2020-04-01,53.619999,58.590000,53.520000,56.900002,55.147713,82839000
2020-04-08,57.049999,60.730000,56.360001,60.040001,58.672634,56706100
2020-04-15,59.299999,62.840000,58.900002,60.590000,59.210110,83733800
2020-04-22,61.259998,63.180000,60.840000,62.139999,60.724808,59293900
2020-04-29,62.369999,62.619999,59.680000,61.360001,59.962574,74502800
2020-05-06,61.650002,64.269997,60.619999,63.349998,61.907249,82156800
2020-05-13,63.169998,65.339996,62.130001,62.709999,61.281830,96958200
2020-05-20,63.000000,63.250000,60.180000,60.320000,58.946259,60350600
2020-05-27,60.000000,61.439999,59.110001,60.650002,59.268742,88242500
2020-06-03,60.700001,62.169998,59.689999,60.930000,59.542370,63545700
2020-06-10,61.240002,61.419998,54.070000,57.060001,55.760506,84170900
2020-06-17,57.209999,59.099998,54.730000,58.380001,57.050438,116159600
2020-06-24,58.110001,59.200001,56.669998,58.799999,57.460873,74547900
2020-07-01,59.189999,60.610001,58.750000,60.290001,58.916943,44681900
2020-07-08,60.320000,60.680000,57.160000,57.889999,57.003223,54359900
2020-07-15,58.650002,60.639999,58.320000,59.799999,58.883968,40051800
2020-07-22,59.889999,60.459999,57.349998,59.430000,58.519634,52594400
2020-07-29,59.160000,59.639999,57.770000,59.470001,58.559021,41841600
2020-08-05,59.950001,64.250000,59.410000,63.130001,62.162960,70276900
2020-08-12,63.580002,64.269997,62.750000,63.029999,62.064487,33689800
2020-08-19,63.070000,63.820000,61.700001,62.709999,61.749390,35792000
2020-08-26,62.500000,62.959999,60.689999,60.970001,60.036049,45311200
2020-09-02,60.790001,62.020000,58.139999,58.529999,57.633419,57912900
2020-09-09,58.930000,60.110001,58.180000,59.529999,58.618103,42244000
2020-09-16,59.669998,59.970001,56.900002,58.759998,57.859898,55395600
2020-09-23,59.049999,60.939999,57.700001,59.900002,58.982437,49332000
2020-09-30,60.139999,60.639999,57.610001,57.740002,56.855522,55749800
2020-10-07,58.150002,62.299999,57.959999,61.130001,60.646255,55734400
2020-10-14,61.110001,62.419998,60.310001,60.639999,60.160130,48947500
2020-10-21,60.389999,61.220001,58.560001,58.740002,58.275169,39868600
2020-10-28,58.000000,62.240002,56.750000,61.240002,60.755383,56479600
2020-11-04,63.959999,66.230003,63.380001,64.519997,64.009422,78799200
2020-11-11,65.070000,65.120003,62.200001,64.320000,63.811008,41115900
2020-11-18,64.669998,64.699997,61.080002,63.220001,62.719715,52881700
2020-11-25,63.419998,63.740002,61.990002,62.410000,61.916122,38567500
2020-12-02,62.410000,62.830002,60.849998,61.119999,60.636330,46985700
2020-12-09,61.500000,62.639999,59.919998,62.570000,62.074856,56038300
2020-12-16,62.500000,63.450001,61.130001,61.430000,60.943878,62487300
2020-12-23,61.369999,61.939999,60.810001,61.419998,60.933956,22843800
2020-12-30,61.619999,62.160000,61.480000,61.919998,61.430000,6624100
