Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,38.040001,40.080002,37.869999,39.430000,36.041065,48151800
2020-01-08,39.240002,39.299999,38.410000,38.820000,35.483494,33298800
2020-01-15,38.750000,39.070000,38.299999,38.320000,35.026459,23000200
2020-01-22,38.130001,38.209999,37.320000,37.410000,34.194675,38632500
2020-01-29,37.410000,37.509998,35.070000,36.500000,33.362888,66728700
2020-02-05,37.470001,37.779999,36.020000,36.549999,33.408588,44194800
2020-02-12,37.049999,37.220001,35.639999,36.090000,32.988129,35266800
2020-02-19,35.990002,36.400002,32.779999,32.930000,30.618685,53052300
2020-02-26,33.060001,33.400002,29.709999,31.920000,29.679573,96059400
2020-03-04,32.599998,33.180000,24.200001,26.790001,24.909645,119558800
2020-03-11,25.540001,25.790001,17.500000,18.840000,17.517643,115395000
2020-03-18,17.530001,22.600000,15.510000,22.120001,20.567427,129681900
2020-03-25,23.930000,25.840000,22.080000,24.389999,22.678095,152388500
2020-04-01,25.230000,27.549999,24.110001,24.799999,23.059320,110779900
2020-04-08,24.700001,25.500000,24.160000,24.440001,22.724588,62481600
2020-04-15,23.320000,23.450001,21.280001,21.639999,20.121115,100224300
2020-04-22,22.980000,24.500000,22.719999,24.160000,22.464239,70567400
2020-04-29,25.100000,25.469999,22.530001,23.870001,22.194595,72245500
2020-05-06,24.150000,24.590000,23.059999,23.059999,21.441446,46565300
2020-05-13,23.090000,23.879999,21.200001,22.910000,21.874758,63480000
2020-05-20,23.549999,23.920000,22.559999,23.260000,22.208942,39169400
2020-05-27,24.100000,24.990000,22.719999,24.950001,23.822577,52271700
2020-06-03,25.670000,28.570000,25.250000,27.340000,26.104578,64774100
2020-06-10,26.889999,26.990000,23.230000,24.549999,23.440649,63310700
2020-06-17,24.400000,24.469999,23.270000,24.170000,23.077820,49162800
2020-06-24,23.760000,23.760000,22.660000,23.320000,22.266230,47296300
2020-07-01,23.330000,23.930000,23.010000,23.020000,21.979788,27840400
2020-07-08,23.020000,23.370001,22.030001,23.280001,22.228039,52364600
2020-07-15,23.690001,24.480000,22.930000,24.090000,23.001434,49351400
2020-07-22,23.620001,23.650000,22.809999,22.820000,21.788824,46172000
2020-07-29,22.959999,24.000000,21.750000,23.740000,22.667252,67920400
2020-08-05,24.510000,24.530001,22.530001,23.809999,22.734087,61969700
2020-08-12,24.469999,24.610001,22.320000,22.360001,21.349611,55088600
2020-08-19,22.320000,22.580000,21.360001,21.620001,20.914612,53249400
2020-08-26,21.500000,21.590000,20.690001,20.770000,20.092344,44640100
2020-09-02,20.690001,21.090000,19.959999,20.150000,19.492573,51319900
2020-09-09,20.670000,20.709999,19.629999,19.660000,19.018559,58196000
2020-09-16,19.750000,20.250000,18.110001,18.480000,17.877058,77236200
2020-09-23,18.660000,18.700001,17.570000,17.670000,17.093487,72824000
2020-09-30,17.719999,17.799999,16.379999,16.930000,16.377630,83400600
2020-10-07,16.900000,17.740000,16.600000,16.680000,16.135788,70727000
2020-10-14,16.520000,16.830000,15.870000,16.150000,15.623078,78344600
2020-10-21,16.020000,16.330000,15.350000,15.380000,14.878201,88532600
2020-10-28,15.000000,16.580000,14.740000,16.180000,15.652101,118142000
2020-11-04,16.129999,19.330000,15.600000,19.100000,18.476831,134958100
2020-11-11,19.620001,20.120001,18.190001,20.049999,19.782156,88557000
2020-11-18,20.160000,22.100000,19.150000,21.860001,21.567978,75699600
2020-11-25,21.490000,21.600000,19.559999,20.240000,19.969618,62672600
2020-12-02,20.740000,22.440001,20.670000,21.790001,21.498913,85996100
2020-12-09,22.110001,22.830000,21.330000,21.940001,21.646910,72263700
2020-12-16,21.879999,22.049999,20.190001,20.480000,20.206411,67661100
2020-12-23,21.139999,21.540001,20.840000,21.070000,20.788530,42041200
2020-12-30,21.190001,21.290001,20.930000,21.030001,20.749065,11662600
