Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,42.939999,44.740002,42.720001,44.730000,41.454121,7378700
2020-01-08,45.169998,45.619999,45.060001,45.250000,41.936043,7658900
2020-01-15,45.450001,45.639999,44.230000,44.570000,41.305843,4060200
2020-01-22,44.340000,44.889999,43.459999,43.869999,40.657104,4979800
2020-01-29,43.720001,44.900002,43.560001,44.740002,41.463390,5902500
2020-02-05,44.160000,45.169998,44.119999,44.770000,41.491192,5691000
2020-02-12,44.619999,44.650002,42.990002,43.200001,40.036179,5260400
2020-02-19,43.330002,43.700001,40.939999,41.049999,38.043633,9383300
2020-02-26,40.860001,41.910000,38.150002,39.759998,36.848103,16062200
2020-03-04,40.869999,42.279999,37.540001,38.869999,36.023293,18604300
2020-03-11,38.060001,38.380001,29.959999,33.689999,31.222656,23780500
2020-03-18,32.160000,33.430000,27.320000,30.059999,27.858505,25654500
2020-03-25,30.059999,34.709999,29.620001,34.189999,31.686035,16558100
2020-04-01,35.490002,37.369999,34.849998,36.380001,34.465672,17875800
2020-04-08,36.500000,38.020000,35.950001,37.889999,35.896217,9402500
2020-04-15,37.040001,37.669998,35.439999,35.619999,33.745663,9246200
2020-04-22,36.389999,39.630001,35.840000,39.200001,37.137287,8379700
2020-04-29,39.599998,40.040001,36.970001,37.799999,35.810951,14161800
2020-05-06,37.549999,39.419998,36.779999,38.320000,36.303593,6664100
2020-05-13,38.580002,38.610001,36.639999,37.500000,35.526741,7776500
2020-05-20,38.080002,39.830002,37.810001,39.639999,37.554134,4626300
2020-05-27,40.320000,41.020000,39.430000,40.509998,38.378353,6643400
2020-06-03,40.820000,41.580002,38.549999,39.150002,37.089916,10282600
2020-06-10,40.200001,40.590000,37.400002,39.709999,37.620449,8843500
2020-06-17,39.840000,40.259998,38.980000,39.680000,37.592026,6310200
2020-06-24,38.880001,39.490002,38.090000,38.820000,36.777279,9683400
2020-07-01,38.869999,39.709999,38.689999,39.180000,37.118340,4899000
2020-07-08,38.849998,39.049999,36.410000,36.880001,34.939369,10898600
2020-07-15,37.020000,37.090000,34.330002,34.700001,33.457714,14337600
2020-07-22,34.709999,35.759998,34.330002,35.299999,34.036228,9651600
2020-07-29,35.549999,35.549999,33.169998,33.770000,32.561008,18224400
2020-08-05,33.770000,34.599998,32.750000,34.000000,32.782772,19717800
2020-08-12,34.790001,34.790001,33.250000,33.990002,32.773129,16827300
2020-08-19,34.029999,34.790001,33.119999,34.209999,32.985252,13314000
2020-08-26,33.980000,34.480000,33.730000,33.919998,32.705635,8596900
2020-09-02,34.169998,34.799999,33.419998,33.669998,32.464584,9295100
2020-09-09,34.730000,35.230000,33.610001,34.869999,33.621624,10526000
2020-09-16,34.779999,35.259998,33.450001,34.959999,33.708401,9560800
2020-09-23,35.619999,36.770000,35.099998,35.639999,34.364056,12300300
2020-09-30,35.869999,36.410000,34.820000,35.560001,34.286926,8083100
2020-10-07,35.520000,35.700001,35.060001,35.270000,34.656334,6833700
2020-10-14,34.810001,35.049999,33.650002,33.880001,33.290520,9195400
2020-10-21,33.450001,33.970001,32.689999,32.689999,32.121220,8567400
2020-10-28,32.119999,32.959999,31.600000,32.650002,32.081921,14242600
2020-11-04,33.389999,36.009998,32.599998,35.930000,35.304848,17215300
2020-11-11,36.259998,37.820000,35.900002,37.619999,36.965443,12824700
2020-11-18,37.790001,38.310001,35.500000,36.110001,35.481716,8251400
2020-11-25,35.630001,35.980000,35.200001,35.730000,35.108330,9038400
2020-12-02,35.720001,38.889999,35.680000,38.799999,38.124912,8004500
2020-12-09,39.000000,39.459999,38.150002,38.320000,37.653263,9289100
2020-12-16,38.419998,39.000000,36.080002,36.540001,35.904236,10668900
2020-12-23,36.639999,38.389999,36.630001,37.810001,37.810001,5729700
2020-12-30,37.779999,38.049999,37.480000,37.720001,37.720001,1901500
