Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,142.330002,142.699997,138.160004,138.869995,134.656204,6348300
2020-01-08,139.009995,143.850006,138.589996,141.949997,137.642761,10349700
2020-01-15,142.160004,148.339996,142.119995,148.210007,143.712814,6657600
2020-01-22,149.009995,151.779999,147.979996,151.729996,147.125992,6938000
2020-01-29,151.800003,151.970001,148.580002,150.449997,145.884842,6271300
2020-02-05,150.270004,163.509995,149.309998,161.029999,156.143799,8454100
2020-02-12,160.830002,166.399994,158.800003,166.210007,161.166626,5872600
2020-02-19,166.270004,168.750000,162.429993,163.020004,158.073425,10528700
2020-02-26,163.740005,165.169998,140.710007,158.130005,153.331802,22646300
2020-03-04,160.619995,164.220001,148.639999,159.350006,154.514801,14243700
2020-03-11,155.080002,158.000000,132.690002,146.869995,142.413467,19185400
2020-03-18,141.160004,148.679993,114.180000,123.709999,120.899200,22677700
2020-03-25,122.970001,148.660004,121.669998,144.399994,141.119110,16447100
2020-04-01,137.669998,154.479996,133.800003,146.539993,143.210480,13797900
2020-04-08,148.000000,165.899994,146.789993,165.779999,162.013351,10689900
2020-04-15,166.020004,167.830002,158.149994,159.669998,156.042160,10782400
2020-04-22,161.860001,166.000000,158.529999,161.259995,157.596039,8348000
2020-04-29,163.410004,163.479996,150.600006,158.679993,155.074646,11481400
2020-05-06,159.190002,160.830002,151.710007,154.220001,150.716003,9336400
2020-05-13,154.160004,158.559998,147.559998,152.559998,149.093704,10371800
2020-05-20,153.520004,161.169998,148.380005,159.589996,155.963974,8602300
2020-05-27,159.839996,175.949997,158.089996,174.550003,170.584091,13504500
2020-06-03,176.559998,176.850006,166.110001,174.339996,170.378845,10801300
2020-06-10,174.220001,175.740005,160.470001,169.589996,165.736786,12658200
2020-06-17,171.360001,172.240005,164.330002,165.529999,162.891830,14086900
2020-06-24,164.000000,167.990005,159.149994,167.350006,164.682831,9513500
2020-07-01,167.929993,180.000000,167.210007,171.509995,168.776520,9002400
2020-07-08,172.100006,173.520004,165.679993,169.350006,166.650955,10567700
2020-07-15,171.139999,177.279999,164.600006,167.529999,164.859955,11053900
2020-07-22,166.919998,172.919998,164.720001,171.779999,169.042221,8270600
2020-07-29,172.929993,175.149994,162.000000,165.880005,163.236267,13659200
2020-08-05,166.369995,169.360001,161.399994,161.789993,159.211441,9014100
2020-08-12,162.990005,168.210007,162.619995,166.000000,163.354340,6096900
2020-08-19,167.130005,167.410004,159.000000,160.690002,158.128967,6414200
2020-08-26,160.000000,164.039993,158.889999,162.100006,159.516510,8003200
2020-09-02,161.160004,166.820007,157.000000,158.500000,155.973877,8976200
2020-09-09,159.910004,165.100006,157.759995,163.460007,160.854828,8385900
2020-09-16,164.940002,167.789993,156.070007,159.979996,158.630585,10655300
2020-09-23,158.600006,164.750000,155.009995,164.179993,162.795166,10011300
2020-09-30,164.800003,169.300003,164.350006,165.089996,163.697495,9770700
2020-10-07,166.199997,169.309998,164.179993,166.800003,165.393066,6518900
2020-10-14,167.169998,168.750000,162.259995,164.460007,163.072815,8927800
2020-10-21,162.919998,165.449997,154.610001,160.610001,159.255280,9907700
2020-10-28,158.500000,162.399994,154.080002,160.350006,158.997482,6882100
2020-11-04,159.630005,169.419998,157.669998,160.419998,159.066879,8321500
2020-11-11,161.740005,169.419998,160.970001,166.339996,164.936951,9232400
2020-11-18,166.289993,172.130005,164.009995,164.250000,162.864578,11075700
2020-11-25,164.580002,170.899994,163.509995,170.800003,169.359329,8912900
2020-12-02,170.039993,170.559998,161.020004,161.330002,159.969208,10312900
2020-12-09,160.539993,160.940002,154.350006,155.410004,154.099152,13682100
2020-12-16,155.880005,157.529999,151.210007,153.490005,153.490005,19713700
2020-12-23,154.210007,157.979996,152.410004,155.809998,155.809998,6012600
2020-12-30,155.990005,157.190002,155.690002,156.389999,156.389999,1310100
