Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,174.240005,176.880005,173.490005,173.740005,170.802429,5360600
2020-01-08,174.500000,178.399994,173.410004,173.669998,170.733597,8074600
2020-01-15,173.119995,177.009995,172.149994,172.559998,169.642380,5858100
2020-01-22,173.070007,173.660004,162.399994,162.979996,160.224350,6971600
2020-01-29,163.910004,165.119995,157.279999,164.429993,161.649826,9374500
2020-02-05,167.429993,171.059998,166.050003,170.259995,167.381256,7116500
2020-02-12,172.000000,173.199997,164.210007,166.300003,163.488220,4169100
2020-02-19,166.500000,181.990005,164.500000,166.649994,163.832291,13861600
2020-02-26,168.279999,169.380005,152.660004,157.779999,155.112259,13531800
2020-03-04,161.240005,164.940002,147.130005,154.990005,152.369446,13049700
2020-03-11,150.850006,151.160004,119.070000,126.709999,124.567596,13738800
2020-03-18,117.820000,126.660004,106.139999,126.000000,123.869606,15864800
2020-03-25,125.879997,145.000000,121.839996,138.160004,135.824005,12983500
2020-04-01,132.179993,151.649994,129.679993,142.820007,141.199478,11104300
2020-04-08,145.080002,150.210007,135.160004,138.130005,136.562698,6941900
2020-04-15,133.119995,140.259995,127.550003,134.059998,132.538864,12982600
2020-04-22,137.369995,144.619995,134.119995,141.559998,139.953766,7436900
2020-04-29,145.000000,148.429993,130.199997,135.149994,133.616501,8623600
2020-05-06,135.610001,138.949997,129.940002,130.050003,128.574371,6688100
2020-05-13,130.949997,139.440002,117.849998,136.149994,134.605148,10707900
2020-05-20,138.479996,151.000000,138.110001,148.029999,146.350372,10427500
2020-05-27,152.000000,156.339996,147.399994,152.949997,151.214523,8900100
2020-06-03,155.130005,170.410004,155.059998,164.809998,162.939957,8560300
2020-06-10,164.419998,165.089996,148.119995,158.300003,156.503815,7912700
2020-06-17,158.929993,158.929993,151.750000,153.960007,152.213089,6190500
2020-06-24,151.889999,158.250000,148.190002,157.149994,155.366867,8890200
2020-07-01,159.649994,161.919998,155.339996,158.699997,157.703461,4222100
2020-07-08,159.270004,169.820007,156.100006,169.559998,168.495270,6789900
2020-07-15,170.690002,176.929993,169.830002,175.649994,174.547028,6668900
2020-07-22,174.190002,178.399994,172.910004,175.789993,174.686142,4838000
2020-07-29,176.710007,180.759995,173.360001,178.110001,176.991577,6045600
2020-08-05,180.000000,195.850006,179.860001,193.220001,192.006699,8129800
2020-08-12,191.289993,194.820007,188.429993,192.130005,190.923553,6001100
2020-08-19,193.000000,209.399994,189.380005,205.600006,204.308975,15402400
2020-08-26,206.589996,217.720001,204.759995,217.690002,216.323044,8994600
2020-09-02,218.240005,219.710007,207.970001,210.240005,208.919830,7539000
2020-09-09,210.860001,220.960007,210.860001,215.770004,214.415100,8301400
2020-09-16,217.160004,225.380005,210.179993,217.580002,216.213745,10486700
2020-09-23,217.580002,224.360001,211.380005,220.179993,218.797394,6019100
2020-09-30,221.380005,231.119995,215.020004,226.119995,225.472336,8128600
2020-10-07,229.270004,237.610001,228.110001,237.220001,236.540543,5815100
2020-10-14,237.389999,243.399994,234.369995,238.869995,238.185806,5813900
2020-10-21,239.520004,241.919998,228.000000,228.509995,227.855484,5979600
2020-10-28,225.000000,241.619995,221.729996,239.960007,239.272705,6879800
2020-11-04,237.399994,265.869995,233.199997,253.970001,253.242569,9578300
2020-11-11,253.960007,260.339996,245.960007,258.209991,257.470428,7250000
2020-11-18,258.440002,264.170013,255.000000,261.510010,260.760986,9373900
2020-11-25,263.010010,265.869995,254.509995,255.130005,254.399246,8539900
2020-12-02,255.130005,260.440002,250.539993,252.600006,251.876495,9410100
2020-12-09,252.500000,264.109985,250.619995,261.989990,261.239594,6992600
2020-12-16,261.839996,272.000000,259.640015,269.260010,268.488770,9688500
2020-12-23,270.679993,273.559998,262.850006,265.339996,264.579987,2813200
2020-12-30,266.000000,268.359985,265.500000,266.149994,265.387665,792800
