Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,52.060001,52.619999,49.570000,49.799999,49.799999,10058100
2020-01-08,49.500000,51.529999,48.680000,50.860001,50.860001,16346000
2020-01-15,50.709999,51.730000,48.900002,49.290001,49.290001,10264400
2020-01-22,49.500000,51.040001,47.970001,48.680000,48.680000,9736300
2020-01-29,48.950001,51.480000,48.150002,51.029999,51.029999,10780600
2020-02-05,51.480000,53.099998,50.560001,52.259998,52.259998,18880000
2020-02-12,52.730000,53.549999,51.430000,52.770000,52.770000,11623300
2020-02-19,52.900002,53.590000,46.169998,46.220001,46.220001,14846400
2020-02-26,46.720001,47.340000,39.200001,41.779999,41.779999,26342400
2020-03-04,42.490002,43.380001,35.459999,39.139999,39.139999,21517000
2020-03-11,37.639999,38.549999,29.180000,31.320000,31.320000,26576900
2020-03-18,29.000000,38.860001,25.510000,38.849998,38.849998,23014400
2020-03-25,39.369999,42.900002,38.169998,39.549999,39.549999,15429400
2020-04-01,37.750000,40.779999,35.529999,38.369999,38.369999,13435600
2020-04-08,38.799999,42.750000,38.599998,41.340000,41.340000,11914000
2020-04-15,40.029999,42.270000,37.200001,37.400002,37.400002,12489100
2020-04-22,38.299999,41.360001,37.889999,40.840000,40.840000,11165200
2020-04-29,41.540001,43.669998,38.790001,40.189999,40.189999,9315200
2020-05-06,40.599998,43.799999,40.209999,42.250000,42.250000,8130900
2020-05-13,42.349998,44.939999,39.299999,44.040001,44.040001,9398300
2020-05-20,44.419998,45.099998,41.889999,44.459999,44.459999,8551400
2020-05-27,45.000000,50.000000,43.680000,49.150002,49.150002,25838000
2020-06-03,49.500000,52.040001,48.150002,50.029999,50.029999,15455400
2020-06-10,50.070000,50.230000,45.619999,47.680000,47.680000,10294200
2020-06-17,47.770000,49.520000,46.730000,49.009998,49.009998,14426300
2020-06-24,54.849998,55.230000,50.779999,54.939999,54.939999,31807300
2020-07-01,55.060001,55.740002,52.880001,52.950001,52.950001,8168600
2020-07-08,53.189999,54.400002,51.080002,52.500000,52.500000,8057700
2020-07-15,52.689999,62.500000,52.160000,61.060001,61.060001,38840100
2020-07-22,61.340000,62.889999,59.230000,59.369999,59.369999,9398400
2020-07-29,59.430000,60.840000,58.110001,60.320000,60.320000,8761700
2020-08-05,60.750000,63.189999,59.910000,61.540001,61.540001,7741800
2020-08-12,62.099998,62.290001,59.500000,60.020000,60.020000,6562600
2020-08-19,60.320000,62.200001,59.310001,60.639999,60.639999,7630700
2020-08-26,61.820000,67.620003,60.840000,66.370003,66.370003,20233600
2020-09-02,66.930000,68.610001,62.709999,64.150002,64.150002,9620600
2020-09-09,65.110001,68.129997,64.800003,67.099998,67.099998,10567900
2020-09-16,67.669998,68.559998,63.720001,66.309998,66.309998,18824600
2020-09-23,67.220001,68.489998,64.349998,68.400002,68.400002,8266900
2020-09-30,68.389999,68.879997,65.720001,67.480003,67.480003,8220600
2020-10-07,68.309998,71.040001,67.070000,70.510002,70.510002,8181600
2020-10-14,70.750000,71.449997,68.849998,69.410004,69.410004,5671500
2020-10-21,69.720001,70.559998,63.490002,63.570000,63.570000,7171800
2020-10-28,62.040001,62.869999,58.880001,61.750000,61.750000,7323600
2020-11-04,62.470001,66.050003,61.340000,64.610001,64.610001,7242200
2020-11-11,65.269997,68.199997,63.939999,67.860001,67.860001,6160300
2020-11-18,68.449997,70.500000,66.709999,70.330002,70.330002,9452700
2020-11-25,69.830002,70.769997,67.250000,70.519997,70.519997,11708700
2020-12-02,70.599998,72.639999,69.669998,71.870003,71.870003,12179500
2020-12-09,72.139999,73.879997,70.309998,73.739998,73.739998,10478600
2020-12-16,73.949997,75.389999,71.029999,72.730003,72.730003,11559900
2020-12-23,72.900002,73.889999,71.349998,71.500000,71.500000,10664100
2020-12-30,71.680000,73.050003,71.519997,72.500000,72.500000,4401400
