Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,153.960007,156.669998,152.429993,156.130005,155.484390,9650700
2020-01-08,157.300003,161.990005,156.270004,161.389999,160.722610,12202900
2020-01-15,161.550003,164.169998,160.270004,163.710007,163.033035,9989100
2020-01-22,163.860001,164.539993,159.610001,163.759995,163.082809,10459500
2020-01-29,164.570007,169.190002,160.339996,162.759995,162.086929,15094100
2020-02-05,163.779999,165.119995,161.380005,163.679993,163.003143,8772700
2020-02-12,163.559998,166.399994,161.949997,164.000000,163.321808,7937900
2020-02-19,164.440002,164.800003,150.750000,151.649994,151.022903,12671800
2020-02-26,151.410004,155.929993,141.220001,147.539993,146.929886,23172500
2020-03-04,150.580002,156.139999,138.139999,144.309998,143.713257,19431600
2020-03-11,141.509995,142.080002,123.529999,131.779999,131.235077,26129700
2020-03-18,124.199997,137.169998,119.599998,129.149994,128.615952,31272500
2020-03-25,126.660004,141.830002,123.779999,138.410004,137.837662,26502500
2020-04-01,133.360001,146.000000,127.699997,138.300003,137.920074,20380200
2020-04-08,141.830002,152.949997,138.070007,152.139999,151.722046,12648800
2020-04-15,150.259995,158.000000,149.649994,153.750000,153.327621,17244300
2020-04-22,156.080002,170.639999,155.300003,165.330002,164.875809,19285100
2020-04-29,163.259995,166.589996,159.100006,164.449997,163.998230,11510100
2020-05-06,164.570007,167.080002,157.279999,160.270004,159.829712,28409500
2020-05-13,160.009995,166.869995,157.119995,159.119995,158.682877,18243600
2020-05-20,160.789993,162.490005,156.330002,158.580002,158.144348,8969900
2020-05-27,157.399994,167.059998,155.610001,166.960007,166.501343,15999500
2020-06-03,167.899994,174.100006,166.210007,169.449997,168.984497,14896600
2020-06-10,170.229996,176.440002,164.509995,174.899994,174.419510,14920700
2020-06-17,176.000000,178.729996,172.750000,175.589996,175.107635,12484300
2020-06-24,174.630005,177.410004,168.589996,176.830002,176.344223,12172700
2020-07-01,177.110001,184.729996,175.139999,182.039993,181.730698,8344900
2020-07-08,182.990005,187.190002,181.179993,185.449997,185.134903,10431400
2020-07-15,187.149994,195.740005,184.889999,195.000000,194.668686,13073900
2020-07-22,194.679993,203.000000,190.339996,199.009995,198.671860,14707500
2020-07-29,199.539993,207.029999,198.830002,206.070007,205.719879,10294300
2020-08-05,206.149994,207.660004,199.300003,200.009995,199.670166,10738800
2020-08-12,201.570007,208.289993,201.210007,207.679993,207.327133,6664900
2020-08-19,208.389999,209.380005,204.350006,207.570007,207.217331,6300400
2020-08-26,206.000000,208.880005,198.119995,208.380005,208.025955,8387300
2020-09-02,207.710007,210.580002,192.509995,196.149994,195.816711,10675100
2020-09-09,197.869995,209.710007,197.580002,208.690002,208.335419,10264100
2020-09-16,208.539993,210.289993,201.559998,207.149994,206.798019,10895100
2020-09-23,207.850006,212.240005,201.440002,211.009995,210.651474,10272000
2020-09-30,211.759995,220.809998,211.139999,218.240005,218.061905,10023500
2020-10-07,219.520004,227.479996,219.360001,225.619995,225.435883,9050400
2020-10-14,225.850006,229.449997,220.679993,227.029999,226.844727,10759800
2020-10-21,228.759995,240.509995,225.779999,239.779999,239.584320,14427400
2020-10-28,237.000000,238.669998,225.399994,234.759995,234.568420,11821700
2020-11-04,239.460007,248.320007,224.809998,225.880005,225.695679,18882300
2020-11-11,227.970001,236.339996,226.139999,229.350006,229.162842,13250900
2020-11-18,229.729996,230.369995,216.710007,218.259995,218.081879,14733200
2020-11-25,214.639999,228.000000,212.419998,225.000000,224.816391,11812200
2020-12-02,225.100006,228.000000,219.820007,223.500000,223.317612,11723400
2020-12-09,223.520004,226.300003,220.830002,223.169998,222.987885,11251100
2020-12-16,222.839996,227.410004,220.309998,222.929993,222.748077,11923400
2020-12-23,223.460007,225.649994,220.470001,222.860001,222.678131,6213000
2020-12-30,223.800003,224.850006,220.289993,220.679993,220.679993,1427200
