Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,120.010002,120.360001,116.760002,117.690002,113.915314,4098700
2020-01-08,117.839996,122.699997,117.239998,120.750000,116.877159,10063000
2020-01-15,120.959999,125.809998,120.620003,125.730003,121.697441,6317200
2020-01-22,126.099998,130.309998,125.809998,129.820007,125.656265,8028300
2020-01-29,130.220001,130.440002,122.400002,124.989998,120.981171,8032100
2020-02-05,125.120003,127.639999,122.849998,125.519997,121.494171,7523000
2020-02-12,125.360001,133.229996,125.199997,133.199997,128.927841,10393500
2020-02-19,133.039993,138.460007,132.050003,133.539993,129.256927,17878100
2020-02-26,133.500000,133.949997,115.400002,129.589996,125.433632,21013100
2020-03-04,131.690002,135.710007,119.000000,134.449997,130.137756,21624600
2020-03-11,131.000000,143.610001,124.620003,138.240005,133.806198,65600600
2020-03-18,131.809998,139.669998,105.000000,116.720001,113.866119,25729700
2020-03-25,116.980003,140.979996,116.980003,138.910004,135.513565,18866500
2020-04-01,132.850006,144.059998,127.120003,140.500000,137.064682,12698700
2020-04-08,140.750000,152.589996,139.029999,144.880005,141.337585,11134400
2020-04-15,142.649994,149.740005,138.850006,144.699997,141.161987,14835100
2020-04-22,146.960007,158.360001,146.509995,154.149994,150.380920,8866000
2020-04-29,155.830002,156.600006,143.190002,148.000000,144.381317,8626800
2020-05-06,149.190002,153.179993,132.550003,132.929993,129.679764,10788000
2020-05-13,132.699997,136.820007,129.199997,131.410004,128.196945,13441700
2020-05-20,133.020004,139.869995,129.809998,138.339996,134.957489,7353400
2020-05-27,140.000000,146.210007,134.789993,140.000000,136.576904,10546100
2020-06-03,140.660004,142.820007,134.020004,141.479996,138.020706,11067700
2020-06-10,141.580002,143.789993,132.809998,142.509995,139.025528,11682400
2020-06-17,143.070007,146.860001,138.699997,141.910004,139.607697,22991100
2020-06-24,140.600006,146.070007,136.500000,142.110001,139.804443,12415900
2020-07-01,142.770004,150.490005,142.350006,147.490005,145.097168,5057500
2020-07-08,148.429993,149.589996,142.050003,146.779999,144.398682,6351800
2020-07-15,148.770004,149.009995,139.940002,143.300003,140.975143,6630200
2020-07-22,142.820007,154.419998,142.589996,153.970001,151.472031,6664600
2020-07-29,154.000000,165.490005,154.000000,161.100006,158.486359,10968500
2020-08-05,161.429993,161.500000,151.449997,151.630005,149.169998,5748500
2020-08-12,151.919998,157.199997,151.500000,156.460007,153.921646,5077600
2020-08-19,157.199997,157.330002,150.309998,154.750000,152.239365,5155000
2020-08-26,153.759995,157.000000,151.619995,153.559998,151.068680,4798300
2020-09-02,152.339996,155.460007,140.339996,144.309998,141.968750,7724900
2020-09-09,145.619995,149.759995,143.220001,147.279999,144.890564,8208100
2020-09-16,150.000000,152.979996,141.089996,143.410004,142.177032,10445200
2020-09-23,142.449997,148.169998,138.710007,147.520004,146.251694,6891400
2020-09-30,148.139999,153.479996,145.199997,153.029999,151.714310,7426800
2020-10-07,153.580002,159.580002,152.190002,157.979996,156.621750,6085200
2020-10-14,157.990005,158.990005,154.520004,155.600006,154.262222,5146500
2020-10-21,154.619995,156.389999,150.250000,150.660004,149.364700,4608300
2020-10-28,148.729996,151.160004,140.910004,145.889999,144.635696,6549300
2020-11-04,146.500000,151.399994,134.419998,135.820007,134.652283,12637500
2020-11-11,138.190002,145.149994,137.270004,142.419998,141.195541,8350500
2020-11-18,142.229996,145.110001,131.910004,132.600006,131.459976,9730100
2020-11-25,133.949997,137.750000,132.710007,135.130005,133.968216,7756300
2020-12-02,134.750000,137.559998,132.080002,133.369995,132.223343,8643200
2020-12-09,133.449997,133.610001,126.790001,128.800003,127.692635,11499000
2020-12-16,129.240005,138.600006,128.039993,138.539993,138.539993,13290200
2020-12-23,139.229996,139.960007,136.529999,138.000000,138.000000,4569200
2020-12-30,138.210007,139.779999,137.720001,138.350006,138.350006,1032800
