Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,81.320000,81.480003,79.349998,79.830002,76.554459,6083400
2020-01-08,79.919998,82.309998,79.639999,81.160004,77.829887,7193700
2020-01-15,81.629997,83.320000,81.239998,83.300003,79.882080,5624400
2020-01-22,83.629997,83.779999,82.050003,82.720001,79.325867,6526200
2020-01-29,86.199997,87.529999,81.209999,83.639999,80.208115,8021100
2020-02-05,83.559998,85.290001,83.029999,84.790001,81.310936,6378500
2020-02-12,84.650002,86.860001,84.230003,86.269997,82.730209,4439700
2020-02-19,86.190002,87.190002,83.389999,83.510002,80.083458,5939200
2020-02-26,83.919998,84.580002,73.300003,78.559998,75.336548,12565100
2020-03-04,79.690002,81.180000,73.099998,79.930000,76.650345,13932400
2020-03-11,78.010002,78.029999,60.849998,66.459999,63.733044,20823500
2020-03-18,62.200001,64.709999,49.619999,52.150002,50.010204,18186800
2020-03-25,51.680000,64.430000,50.180000,61.709999,59.772610,18717600
2020-04-01,59.070000,63.750000,52.790001,60.680000,58.774948,14114100
2020-04-08,61.330002,70.610001,60.660000,68.919998,66.756248,10133900
2020-04-15,66.860001,70.150002,63.520000,63.810001,61.806683,11156800
2020-04-22,64.970001,67.489998,61.150002,64.870003,62.833405,9240900
2020-04-29,65.690002,67.080002,60.150002,62.410000,60.450634,10989100
2020-05-06,62.669998,65.070000,59.610001,60.110001,58.222843,16325700
2020-05-13,59.619999,61.270000,55.490002,57.720001,55.907879,17950200
2020-05-20,58.500000,61.209999,56.790001,60.270000,58.377819,12236600
2020-05-27,62.299999,62.389999,59.389999,60.459999,58.561852,20456500
2020-06-03,61.189999,68.510002,60.049999,65.389999,63.337074,19569400
2020-06-10,65.070000,66.430000,60.869999,64.690002,62.659058,14797000
2020-06-17,65.029999,65.459999,58.360001,58.770000,56.924911,17827100
2020-06-24,57.970001,58.980000,56.310001,58.820000,57.533443,17470100
2020-07-01,58.939999,62.189999,57.520000,57.590000,56.330349,8519800
2020-07-08,57.669998,58.049999,56.320000,57.020000,55.772816,13323700
2020-07-15,58.009998,58.419998,54.459999,54.570000,53.376400,12245400
2020-07-22,54.180000,55.919998,52.720001,54.660000,53.464436,12618400
2020-07-29,54.259998,54.830002,51.689999,53.459999,52.290680,14201200
2020-08-05,54.279999,56.279999,53.150002,54.750000,53.552464,12712300
2020-08-12,54.959999,55.549999,53.029999,55.369999,54.158905,11049100
2020-08-19,55.290001,56.580002,53.779999,56.560001,55.322880,10294200
2020-08-26,56.209999,57.060001,54.630001,56.779999,55.538063,9816100
2020-09-02,56.810001,59.099998,56.360001,57.389999,56.134724,8390400
2020-09-09,57.430000,58.139999,54.250000,56.330002,55.097908,16123100
2020-09-16,56.540001,57.380001,51.889999,52.660000,51.508179,20088800
2020-09-23,52.500000,53.310001,50.009998,51.090000,49.972523,14764200
2020-09-30,51.529999,56.410000,50.689999,55.189999,54.625557,17812600
2020-10-07,55.450001,56.410000,53.340000,53.500000,52.952843,8629200
2020-10-14,53.470001,53.610001,50.660000,50.910000,50.389328,9563800
2020-10-21,50.509998,51.439999,49.689999,49.689999,49.181805,12706800
2020-10-28,48.389999,52.970001,45.430000,52.529999,51.992760,21346300
2020-11-04,52.130001,67.419998,50.450001,61.439999,60.811634,28829900
2020-11-11,61.000000,62.939999,57.750000,62.500000,61.860798,15247100
2020-11-18,62.689999,63.009998,58.560001,61.279999,60.653271,14792200
2020-11-25,61.000000,61.160000,57.570000,58.990002,58.386696,11144300
2020-12-02,58.990002,63.560001,58.689999,62.389999,61.751919,13299900
2020-12-09,62.560001,62.810001,57.389999,59.320000,58.713318,12889700
2020-12-16,59.200001,60.200001,56.080002,57.849998,57.258350,19453200
2020-12-23,58.000000,59.820000,57.020000,58.360001,57.763138,5800700
2020-12-30,58.389999,59.160000,58.349998,58.959999,58.356998,1357300
