Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,9.290000,9.420000,9.060000,9.250000,9.095318,176822900
2020-01-08,9.230000,9.360000,9.110000,9.290000,9.134649,229097900
2020-01-15,9.270000,9.300000,9.100000,9.210000,9.055987,191435600
2020-01-22,9.220000,9.250000,8.780000,8.970000,8.820001,329797100
2020-01-29,8.850000,9.240000,8.730000,9.180000,9.026489,319328000
2020-02-05,8.410000,8.480000,8.020000,8.100000,8.100000,464871800
2020-02-12,8.140000,8.360000,8.020000,8.060000,8.060000,290640100
2020-02-19,8.060000,8.100000,7.220000,7.230000,7.230000,399249200
2020-02-26,7.300000,7.460000,6.670000,6.970000,6.970000,521882400
2020-03-04,7.090000,7.090000,5.800000,6.260000,6.260000,464366500
2020-03-11,6.060000,6.110000,4.700000,5.010000,5.010000,527959900
2020-03-18,4.750000,4.990000,3.960000,4.950000,4.950000,663054200
2020-03-25,5.770000,5.870000,4.750000,4.830000,4.830000,773231500
2020-04-01,4.630000,5.030000,4.170000,4.710000,4.710000,513081800
2020-04-08,4.860000,5.750000,4.800000,5.290000,5.290000,467052900
2020-04-15,5.060000,5.280000,4.720000,4.770000,4.770000,379147800
2020-04-22,4.870000,5.540000,4.750000,5.380000,5.380000,376016500
2020-04-29,5.330000,5.500000,4.770000,4.970000,4.970000,483007000
2020-05-06,5.050000,5.250000,4.820000,4.980000,4.980000,404646300
2020-05-13,5.000000,5.450000,4.520000,5.300000,5.300000,519875800
2020-05-20,5.380000,5.990000,5.370000,5.840000,5.840000,337486400
2020-05-27,6.010000,6.090000,5.570000,5.900000,5.900000,422309000
2020-06-03,5.990000,7.740000,5.920000,7.240000,7.240000,652242300
2020-06-10,7.330000,7.340000,6.040000,6.550000,6.550000,566567600
2020-06-17,6.560000,6.690000,6.130000,6.150000,6.150000,413658100
2020-06-24,6.060000,6.120000,5.800000,6.080000,6.080000,387702100
2020-07-01,6.100000,6.200000,5.950000,6.120000,6.120000,250299000
2020-07-08,6.130000,6.390000,5.740000,6.360000,6.360000,403654800
2020-07-15,6.540000,6.910000,6.520000,6.680000,6.680000,410621800
2020-07-22,6.640000,7.060000,6.610000,7.010000,7.010000,343256900
2020-07-29,7.050000,7.060000,6.520000,6.860000,6.860000,357045800
2020-08-05,6.860000,7.380000,6.790000,7.230000,7.230000,310110400
2020-08-12,7.330000,7.370000,6.870000,6.890000,6.890000,257778000
2020-08-19,6.890000,7.100000,6.650000,6.940000,6.940000,239666200
2020-08-26,6.940000,6.980000,6.720000,6.830000,6.830000,232581600
2020-09-02,6.810000,7.170000,6.750000,7.030000,7.030000,291906600
2020-09-09,7.070000,7.180000,6.850000,7.040000,7.040000,304713400
2020-09-16,7.050000,7.400000,6.770000,6.780000,6.780000,331741100
2020-09-23,6.810000,6.930000,6.410000,6.600000,6.600000,252743200
2020-09-30,6.610000,7.250000,6.590000,6.980000,6.980000,295646800
2020-10-07,7.110000,7.880000,7.060000,7.760000,7.760000,328410800
2020-10-14,7.730000,7.850000,7.370000,7.740000,7.740000,257062200
2020-10-21,7.770000,8.350000,7.730000,7.920000,7.920000,314524100
2020-10-28,7.680000,8.240000,7.610000,7.880000,7.880000,406355500
2020-11-04,7.860000,8.590000,7.630000,8.380000,8.380000,377661200
2020-11-11,8.600000,8.850000,8.100000,8.750000,8.750000,367792800
2020-11-18,8.820000,9.500000,8.680000,9.450000,9.450000,362513900
2020-11-25,9.200000,9.400000,8.980000,9.240000,9.240000,270012100
2020-12-02,9.160000,9.440000,9.080000,9.250000,9.250000,262024500
2020-12-09,9.310000,9.490000,8.880000,9.150000,9.150000,364083200
2020-12-16,9.170000,9.180000,8.750000,8.790000,8.790000,306280000
2020-12-23,8.820000,9.030000,8.780000,8.820000,8.820000,157620000
2020-12-30,8.830000,8.920000,8.810000,8.860000,8.860000,38461900
