Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,131.770004,132.929993,130.229996,132.509995,129.364822,8718900
2020-01-08,132.460007,140.899994,132.009995,140.649994,137.311615,23691300
2020-01-15,140.580002,141.970001,138.429993,140.910004,137.565460,17714000
2020-01-22,141.250000,142.250000,137.339996,139.259995,135.954590,14539600
2020-01-29,139.509995,144.070007,138.100006,143.440002,140.035416,20287700
2020-02-05,144.779999,147.869995,141.119995,144.250000,140.826157,17884800
2020-02-12,144.669998,144.899994,140.529999,141.009995,137.663086,12540600
2020-02-19,141.619995,142.809998,134.619995,135.410004,132.881195,17529700
2020-02-26,136.029999,137.020004,121.510002,130.309998,127.876450,31142400
2020-03-04,133.029999,142.360001,133.000000,141.190002,138.553253,31507200
2020-03-11,139.460007,143.589996,125.930000,143.199997,140.525711,37418700
2020-03-18,136.339996,144.000000,117.059998,122.889999,120.595001,36529500
2020-03-25,120.120003,142.020004,119.209999,138.720001,136.129379,30530600
2020-04-01,134.000000,144.800003,132.979996,141.880005,139.230377,20096600
2020-04-08,142.050003,151.550003,140.500000,151.110001,148.287994,14520500
2020-04-15,148.940002,160.199997,148.509995,152.669998,149.818848,17669600
2020-04-22,154.610001,164.899994,153.570007,157.300003,154.362396,19866700
2020-04-29,157.759995,159.220001,151.259995,157.889999,154.941360,15084000
2020-05-06,158.460007,161.399994,152.550003,157.720001,154.774551,11788700
2020-05-13,157.029999,162.369995,153.809998,156.699997,153.773590,12911500
2020-05-20,155.270004,157.429993,147.160004,147.960007,145.880371,14199000
2020-05-27,148.169998,154.990005,143.619995,153.860001,151.697418,27328300
2020-06-03,153.339996,154.389999,146.520004,149.130005,147.033920,19476300
2020-06-10,149.960007,167.429993,139.679993,163.710007,161.408997,32200000
2020-06-17,164.229996,164.360001,158.199997,159.339996,157.100403,19766500
2020-06-24,158.550003,165.169998,156.330002,164.179993,161.872375,18058400
2020-07-01,164.320007,168.919998,162.369995,166.750000,164.406250,10058700
2020-07-08,166.839996,170.750000,161.039993,163.880005,161.576599,14080600
2020-07-15,165.190002,167.710007,162.600006,165.300003,162.976639,10115700
2020-07-22,165.539993,165.850006,158.449997,162.649994,160.363892,12536000
2020-07-29,162.529999,163.029999,148.740005,154.850006,152.673538,21964700
2020-08-05,157.309998,157.490005,150.199997,150.630005,148.512848,10518400
2020-08-12,150.789993,153.169998,149.149994,153.110001,150.957993,10710500
2020-08-19,153.809998,154.410004,147.949997,149.679993,148.295547,11365500
2020-08-26,149.190002,150.940002,146.649994,147.300003,145.937561,15068400
2020-09-02,146.789993,153.369995,146.509995,149.309998,147.928970,15345900
2020-09-09,150.619995,154.119995,145.720001,150.080002,148.691849,15287200
2020-09-16,151.720001,154.500000,149.059998,149.860001,148.473892,26877300
2020-09-23,150.050003,151.589996,145.929993,146.259995,144.907181,15145900
2020-09-30,146.399994,148.710007,143.270004,144.130005,142.796890,17972900
2020-10-07,148.520004,157.149994,146.850006,150.080002,148.691849,23086100
2020-10-14,150.380005,150.600006,142.110001,143.589996,142.261871,14762600
2020-10-21,142.289993,144.699997,131.869995,131.899994,130.679993,21789200
2020-10-28,130.460007,134.100006,129.210007,130.979996,129.768509,21701100
2020-11-04,134.910004,151.979996,134.910004,146.559998,145.204407,35043300
2020-11-11,147.759995,147.759995,138.610001,141.199997,139.893982,17229700
2020-11-18,141.899994,147.089996,138.919998,144.899994,144.297394,20406200
2020-11-25,144.899994,148.169998,142.610001,145.559998,144.954651,14774300
2020-12-02,145.360001,150.139999,143.130005,149.300003,148.679108,16267200
2020-12-09,154.589996,168.229996,153.679993,167.429993,166.733688,29603100
2020-12-16,169.690002,173.899994,165.800003,166.720001,166.026657,22991200
2020-12-23,167.449997,168.000000,165.210007,166.580002,165.887238,5518500
2020-12-30,167.440002,168.389999,166.679993,167.009995,166.315445,1413300
