Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,392.859985,417.989990,390.950012,414.500000,404.121796,7786200
2020-01-08,417.059998,420.959991,409.720001,416.140015,405.720764,5714200
2020-01-15,416.420013,427.779999,416.140015,426.149994,415.480133,4185200
2020-01-22,427.500000,438.989990,424.000000,437.170013,426.224243,6784900
2020-01-29,437.720001,437.989990,422.040009,430.779999,419.994232,7140900
2020-02-05,433.320007,442.529999,429.019989,439.850006,428.837158,4584100
2020-02-12,439.010010,439.690002,434.010010,435.549988,424.644745,3944100
2020-02-19,437.000000,438.269989,397.529999,400.359985,390.335846,5751200
2020-02-26,400.309998,410.519989,360.339996,377.399994,367.950714,12327700
2020-03-04,385.420013,402.959991,350.600006,367.170013,360.224762,11746300
2020-03-11,356.570007,365.890015,285.000000,318.829987,312.799103,14698900
2020-03-18,296.920013,339.230011,266.109985,288.910004,283.445099,15726700
2020-03-25,300.619995,365.089996,293.609985,338.950012,332.538544,13119400
2020-04-01,324.829987,381.899994,322.010010,355.279999,348.559662,10718600
2020-04-08,361.369995,386.579987,358.589996,380.029999,372.841492,5967700
2020-04-15,376.750000,402.450012,367.359985,373.440002,366.376160,8117500
2020-04-22,383.489990,387.829987,372.980011,384.730011,377.452606,6153300
2020-04-29,388.160004,393.510010,374.130005,390.299988,382.917236,6104100
2020-05-06,390.890015,390.890015,371.029999,371.109985,364.090179,6417700
2020-05-13,371.279999,382.459991,352.260010,371.480011,364.453217,7885100
2020-05-20,372.440002,376.950012,362.109985,372.200012,365.159637,5408300
2020-05-27,376.779999,404.260010,376.579987,389.769989,382.397247,7703600
2020-06-03,393.649994,417.619995,392.589996,408.559998,403.260864,6829400
2020-06-10,406.500000,409.100006,367.549988,382.769989,377.805359,8985000
2020-06-17,382.500000,386.239990,370.440002,371.700012,366.878967,10243100
2020-06-24,370.899994,371.230011,353.329987,364.920013,360.186890,8258100
2020-07-01,366.339996,368.290009,352.779999,353.269989,348.687988,5424300
2020-07-08,353.500000,357.299988,339.179993,355.660004,351.046997,8986300
2020-07-15,361.640015,378.899994,359.019989,375.119995,370.254608,7150800
2020-07-22,376.709991,394.670013,375.619995,386.660004,381.644897,7208300
2020-07-29,389.559998,390.470001,371.440002,377.989990,373.087372,5118400
2020-08-05,380.000000,399.489990,378.089996,391.959991,386.876160,4810700
2020-08-12,394.019989,396.519989,387.000000,390.260010,385.198242,4250900
2020-08-19,390.079987,402.380005,383.579987,394.839996,389.718811,4910900
2020-08-26,393.000000,400.089996,385.000000,386.809998,381.792969,4276500
2020-09-02,385.149994,401.880005,378.359985,380.230011,377.589111,4720500
2020-09-09,382.690002,396.670013,378.329987,392.549988,389.823517,4814800
2020-09-16,391.109985,399.600006,377.230011,388.420013,385.722229,7381800
2020-09-23,389.230011,396.609985,375.100006,388.739990,386.039978,5986900
2020-09-30,389.470001,390.000000,374.279999,376.459991,373.845276,5511300
2020-10-07,378.600006,390.559998,378.559998,388.950012,386.248535,3977100
2020-10-14,387.140015,395.459991,371.799988,372.209991,369.624786,5794600
2020-10-21,372.209991,376.190002,360.809998,362.429993,359.912720,6729700
2020-10-28,356.869995,366.200012,345.649994,363.440002,360.915710,7730000
2020-11-04,371.070007,381.519989,357.950012,371.279999,368.701263,8922200
2020-11-11,372.869995,380.690002,365.510010,375.899994,373.289154,5520100
2020-11-18,377.489990,383.470001,367.619995,378.480011,375.851257,5147900
2020-11-25,377.089996,381.950012,363.390015,364.989990,362.454926,4376300
2020-12-02,364.989990,369.500000,358.839996,359.230011,359.230011,8675100
2020-12-09,359.850006,365.619995,354.190002,357.570007,357.570007,7202200
2020-12-16,357.250000,357.899994,346.600006,347.920013,347.920013,11935800
2020-12-23,349.950012,357.820007,349.399994,353.899994,353.899994,3895600
2020-12-30,353.000000,356.609985,353.000000,354.160004,354.160004,840800
