Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,95.279999,95.470001,90.089996,90.919998,85.934296,10784600
2020-01-08,90.480003,92.779999,89.099998,91.930000,86.888916,9287700
2020-01-15,91.370003,92.150002,88.410004,89.389999,84.488190,7631000
2020-01-22,89.160004,89.160004,81.519997,82.930000,78.382431,15639800
2020-01-29,83.800003,85.089996,77.290001,81.720001,77.238792,17634700
2020-02-05,83.000000,84.800003,81.160004,83.970001,79.365402,9890000
2020-02-12,85.169998,86.669998,80.389999,81.320000,76.860718,6656400
2020-02-19,81.580002,83.830002,74.809998,75.410004,71.274803,9601800
2020-02-26,76.389999,76.940002,68.500000,72.239998,68.278633,17101200
2020-03-04,73.449997,75.309998,57.830002,59.740002,57.312870,16609500
2020-03-11,57.759998,58.180000,33.709999,41.720001,40.024990,40360100
2020-03-18,38.400002,47.209999,37.110001,45.290001,43.449947,28843500
2020-03-25,47.000000,54.490002,46.400002,49.630001,47.613621,19490400
2020-04-01,46.240002,54.930000,44.509998,51.650002,49.551552,15090200
2020-04-08,52.750000,59.970001,51.860001,58.639999,56.257561,11373900
2020-04-15,55.900002,56.450001,44.330002,46.630001,44.735504,17348100
2020-04-22,48.310001,55.810001,47.119999,55.669998,53.408222,12331800
2020-04-29,57.730000,60.049999,50.869999,54.849998,52.621540,16681100
2020-05-06,54.799999,57.590000,51.990002,55.860001,53.590508,11432300
2020-05-13,55.310001,60.049999,50.060001,58.070000,55.710716,11281100
2020-05-20,59.470001,67.870003,59.119999,67.720001,64.968658,7836200
2020-05-27,69.480003,70.849998,62.410000,68.389999,65.611435,15685200
2020-06-03,69.760002,79.970001,69.180000,76.000000,72.912254,14843600
2020-06-10,75.599998,75.870003,63.299999,69.059998,67.208488,13402400
2020-06-17,69.900002,70.029999,65.110001,65.989998,64.220795,9897900
2020-06-24,65.050003,66.029999,60.040001,65.720001,63.958038,15730600
2020-07-01,66.169998,69.489998,64.610001,67.489998,65.680580,7953800
2020-07-08,67.580002,67.580002,62.950001,66.959999,65.164795,9687400
2020-07-15,69.050003,69.930000,66.629997,68.070000,66.245033,6308400
2020-07-22,67.959999,69.989998,66.930000,67.580002,65.768173,8577800
2020-07-29,67.860001,68.349998,61.520000,64.809998,63.072430,11960300
2020-08-05,65.910004,73.500000,64.610001,71.050003,69.145142,10056000
2020-08-12,72.029999,72.309998,67.790001,68.440002,66.605118,6114700
2020-08-19,68.070000,70.959999,65.220001,68.750000,66.906799,6973200
2020-08-26,68.709999,69.720001,64.209999,68.459999,66.624580,10351500
2020-09-02,69.470001,72.790001,68.309998,70.080002,69.256271,11527800
2020-09-09,70.660004,77.389999,70.660004,76.550003,75.650223,9574200
2020-09-16,75.040001,80.769997,72.029999,73.510002,72.645958,16718100
2020-09-23,73.000000,73.599998,68.180000,70.279999,69.453918,11135800
2020-09-30,71.029999,77.980003,66.750000,75.989998,75.096802,13291400
2020-10-07,77.199997,81.209999,75.430000,76.690002,75.788574,10398800
2020-10-14,76.480003,79.480003,75.519997,77.830002,76.915176,7677600
2020-10-21,77.169998,78.570000,73.250000,73.370003,72.507599,7212100
2020-10-28,71.139999,73.370003,66.720001,72.860001,72.003593,13235200
2020-11-04,72.809998,84.230003,69.470001,81.370003,80.413567,12404300
2020-11-11,82.349998,82.349998,72.949997,81.029999,80.077560,12149100
2020-11-18,81.330002,91.199997,80.120003,90.849998,89.782135,13594900
2020-11-25,90.059998,90.059998,84.760002,85.760002,84.751968,8869800
2020-12-02,84.949997,89.580002,84.639999,87.889999,87.889999,8832300
2020-12-09,88.470001,89.949997,86.820000,89.010002,89.010002,7823300
2020-12-16,88.839996,91.550003,87.750000,89.809998,89.809998,7984000
2020-12-23,90.620003,92.589996,88.870003,89.489998,89.489998,2687100
2020-12-30,89.440002,91.550003,89.389999,91.070000,91.070000,712300
