Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,198.000000,202.770004,197.809998,202.630005,197.697632,15029600
2020-01-08,202.619995,209.369995,202.199997,207.320007,202.273468,18999100
2020-01-15,207.320007,212.770004,207.320007,211.160004,206.019989,13737000
2020-01-22,213.160004,214.179993,207.300003,210.389999,205.268723,16486400
2020-01-29,211.690002,217.100006,210.800003,214.619995,209.395767,20123400
2020-02-05,215.639999,215.860001,211.089996,215.729996,210.478760,13249600
2020-02-12,216.000000,218.389999,215.110001,216.149994,210.888504,10131300
2020-02-19,216.809998,216.919998,210.110001,212.100006,206.937103,17162600
2020-02-26,212.889999,214.559998,188.809998,199.509995,194.653564,33244200
2020-03-04,201.929993,207.160004,184.100006,199.860001,196.215286,28351400
2020-03-11,192.940002,195.740005,135.000000,147.619995,144.927948,45796500
2020-03-18,137.500000,162.979996,124.230003,161.949997,158.996628,59739800
2020-03-25,165.000000,171.360001,159.220001,165.350006,162.334625,34551600
2020-04-01,160.220001,185.190002,155.000000,175.589996,172.387894,30701700
2020-04-08,175.009995,185.460007,174.100006,183.990005,180.634705,17613900
2020-04-15,178.740005,186.809998,172.270004,177.580002,174.341599,27164700
2020-04-22,180.750000,190.000000,180.750000,185.929993,182.539307,20468800
2020-04-29,188.529999,190.410004,178.869995,179.240005,175.971329,22212700
2020-05-06,180.600006,183.429993,176.440002,176.539993,173.320557,16610000
2020-05-13,176.179993,181.460007,167.850006,179.570007,176.295319,24495100
2020-05-20,182.000000,190.660004,180.570007,184.839996,181.469208,14300500
2020-05-27,188.740005,190.479996,185.270004,187.589996,184.169052,18573800
2020-06-03,188.470001,202.729996,188.089996,199.520004,197.187515,20251400
2020-06-10,199.130005,199.559998,184.139999,190.320007,188.095078,23298300
2020-06-17,191.919998,192.880005,184.889999,186.619995,184.438309,18750200
2020-06-24,184.960007,185.710007,178.880005,184.470001,182.313461,18184500
2020-07-01,184.949997,188.720001,182.860001,185.820007,183.647675,10455100
2020-07-08,185.500000,190.839996,182.619995,190.720001,188.490387,15184200
2020-07-15,193.899994,194.899994,189.880005,192.979996,190.723969,13481600
2020-07-22,193.210007,202.520004,193.050003,196.240005,193.945862,18979200
2020-07-29,196.300003,199.699997,191.639999,199.360001,197.029373,16087500
2020-08-05,200.000000,207.419998,197.910004,205.000000,202.603439,13682700
2020-08-12,206.860001,210.429993,205.199997,210.320007,207.861252,11562800
2020-08-19,210.220001,214.190002,208.100006,212.649994,210.164001,13047100
2020-08-26,212.089996,216.710007,210.580002,212.690002,210.203537,14583600
2020-09-02,213.250000,218.110001,210.759995,213.580002,212.318069,15154900
2020-09-09,215.000000,223.639999,214.440002,222.369995,221.056122,15339800
2020-09-16,222.169998,226.720001,213.399994,216.410004,215.131348,16009100
2020-09-23,217.669998,221.979996,213.589996,218.679993,217.387924,10544900
2020-09-30,218.869995,228.660004,217.100006,224.089996,222.765961,14677600
2020-10-07,225.580002,228.580002,223.119995,227.350006,226.006714,12917300
2020-10-14,228.410004,231.910004,225.169998,227.449997,226.106110,10095400
2020-10-21,227.229996,230.410004,220.970001,222.970001,221.652588,10097300
2020-10-28,218.389999,220.589996,209.910004,216.800003,215.519043,14799600
2020-11-04,215.000000,227.850006,207.169998,213.320007,212.059601,23135700
2020-11-11,214.809998,219.250000,210.880005,216.009995,214.733704,17597400
2020-11-18,216.100006,221.250000,213.330002,219.710007,218.411850,16749500
2020-11-25,219.979996,220.589996,214.429993,216.139999,214.862946,10923500
2020-12-02,214.000000,214.399994,206.190002,208.389999,208.389999,19642700
2020-12-09,209.490005,216.210007,206.729996,214.860001,214.860001,17282400
2020-12-16,214.880005,217.509995,208.009995,211.919998,211.919998,20285200
2020-12-23,212.300003,215.779999,211.139999,212.710007,212.710007,6922300
2020-12-30,212.960007,213.360001,211.279999,211.559998,211.559998,1855000
