Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,284.959991,294.579987,284.220001,292.910004,292.910004,5879300
2020-01-08,294.559998,306.000000,293.239990,301.500000,301.500000,7544900
2020-01-15,302.000000,315.600006,301.899994,312.980011,312.980011,8428400
2020-01-22,317.029999,318.839996,298.140015,314.049988,314.049988,8419500
2020-01-29,315.519989,354.640015,311.059998,352.029999,352.029999,14053300
2020-02-05,353.170013,355.989990,334.079987,343.570007,343.570007,8979800
2020-02-12,345.019989,358.760010,339.500000,357.489990,357.489990,6190600
2020-02-19,358.750000,362.950012,324.190002,329.720001,329.720001,9459600
2020-02-26,331.000000,350.700012,307.100006,329.630005,329.630005,12747100
2020-03-04,336.739990,345.220001,288.000000,312.799988,312.799988,14999200
2020-03-11,304.980011,310.269989,250.000000,287.420013,287.420013,17121800
2020-03-18,266.000000,290.000000,238.929993,272.000000,272.000000,16918600
2020-03-25,272.350006,296.170013,257.320007,286.579987,286.579987,15657600
2020-04-01,274.390015,278.799988,246.669998,262.350006,262.350006,15952900
2020-04-08,266.440002,303.140015,263.899994,302.089996,302.089996,9399600
2020-04-15,297.209991,308.140015,281.570007,288.769989,288.769989,10774200
2020-04-22,295.920013,315.000000,292.700012,296.000000,296.000000,7764700
2020-04-29,301.600006,376.179993,301.570007,370.640015,370.640015,16832300
2020-05-06,374.630005,388.500000,364.500000,365.600006,365.600006,12216200
2020-05-13,366.010010,389.670013,351.290009,382.880005,382.880005,11183300
2020-05-20,390.000000,396.149994,379.630005,380.670013,380.670013,5176100
2020-05-27,378.049988,392.899994,352.070007,392.899994,392.899994,10637600
2020-06-03,389.989990,398.000000,367.029999,388.829987,388.829987,9145900
2020-06-10,392.339996,405.529999,372.869995,398.459991,398.459991,9667300
2020-06-17,400.010010,409.799988,391.850006,400.940002,400.940002,8429800
2020-06-24,399.779999,406.170013,385.500000,405.059998,405.059998,7908000
2020-07-01,405.380005,425.000000,403.500000,411.739990,411.739990,6267500
2020-07-08,416.799988,430.829987,390.839996,413.230011,413.230011,7811000
2020-07-15,422.890015,454.700012,404.489990,437.220001,437.220001,9396400
2020-07-22,440.000000,448.339996,414.600006,435.040009,435.040009,5224200
2020-07-29,442.570007,446.510010,421.329987,438.149994,438.149994,10087300
2020-08-05,440.000000,441.049988,418.529999,421.359985,421.359985,10061700
2020-08-12,425.140015,445.149994,423.049988,437.579987,437.579987,8813000
2020-08-19,438.000000,458.880005,432.100006,457.929993,457.929993,10543500
2020-08-26,465.000000,497.250000,464.100006,497.190002,497.190002,7543300
2020-09-02,500.000000,501.820007,432.850006,443.140015,443.140015,7825300
2020-09-09,452.089996,474.320007,439.760010,473.959991,473.959991,6370800
2020-09-16,476.470001,479.440002,442.000000,470.570007,470.570007,6582700
2020-09-23,470.000000,489.559998,453.700012,487.980011,487.980011,4957100
2020-09-30,485.670013,502.630005,478.989990,491.540009,491.540009,6079700
2020-10-07,497.630005,522.770020,492.000000,518.299988,518.299988,4951400
2020-10-14,520.000000,533.369995,506.000000,518.190002,518.190002,4683600
2020-10-21,518.679993,521.859985,492.510010,499.809998,499.809998,5359700
2020-10-28,486.950012,517.900024,472.010010,480.049988,480.049988,10273600
2020-11-04,506.350006,537.530029,472.010010,481.279999,481.279999,9136700
2020-11-11,493.709991,525.010010,489.549988,513.099976,513.099976,7182500
2020-11-18,511.250000,526.460022,502.390015,514.690002,514.690002,5647400
2020-11-25,519.000000,541.739990,511.790009,539.590027,539.590027,4698500
2020-12-02,530.770020,544.049988,521.169983,542.250000,542.250000,6104800
2020-12-09,544.429993,545.000000,518.510010,527.380005,527.380005,5878600
2020-12-16,532.950012,566.739990,532.000000,561.719971,561.719971,7737800
2020-12-23,561.609985,565.000000,539.299988,545.979980,545.979980,3479400
2020-12-30,550.820007,552.000000,544.659973,547.380005,547.380005,580100
