Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,25.580000,25.790001,25.410000,25.667299,25.667299,349517
2020-01-08,25.660000,26.150000,25.650000,26.100000,26.100000,334456
2020-01-15,26.010000,26.219999,25.730000,25.896000,25.896000,206819
2020-01-22,25.901400,26.190001,25.900000,26.010000,26.010000,154249
2020-01-29,25.940001,26.340000,25.850000,26.285200,26.285200,119006
2020-02-05,26.320000,26.719999,26.200001,26.549200,26.549200,74775
2020-02-12,26.480000,26.690001,26.383499,26.436001,26.436001,96335
2020-02-19,26.500000,26.709999,25.670000,25.740000,25.740000,101562
2020-02-26,25.730000,26.450001,25.170000,25.980000,25.980000,154622
2020-03-04,26.280001,26.400000,25.000000,25.389999,25.389999,145749
2020-03-11,25.650000,25.740000,22.600000,22.639999,22.639999,374935
2020-03-18,22.290001,22.469999,19.000000,22.059999,22.059999,288995
2020-03-25,22.110001,24.559999,22.110001,23.570000,23.570000,122825
2020-04-01,23.490000,24.500000,22.420000,24.250000,24.250000,209139
2020-04-08,23.700001,25.190001,23.700001,25.000000,25.000000,159066
2020-04-15,25.000000,25.200001,23.790001,24.700001,24.700001,128907
2020-04-22,25.120001,25.200001,24.709000,25.030199,25.030199,95279
2020-04-29,25.049999,25.889999,25.010000,25.770000,25.770000,222331
2020-05-06,25.650000,25.790001,25.400000,25.530001,25.530001,92344
2020-05-13,25.530001,25.590000,24.980000,25.315001,25.315001,40323
2020-05-20,25.690001,25.700001,25.299999,25.639999,25.639999,40271
2020-05-27,25.820000,26.100000,25.709999,26.100000,26.100000,70057
2020-06-03,26.100000,26.370001,25.670000,25.780001,25.780001,108624
2020-06-10,25.790001,25.820000,24.889999,25.250000,25.250000,134617
2020-06-17,25.250000,25.440001,25.129000,25.250000,25.250000,87919
2020-06-24,25.330000,25.371201,25.010000,25.200001,25.200001,163921
2020-07-01,25.240000,25.709999,25.200100,25.639999,25.639999,55455
2020-07-08,25.700001,26.090000,25.639999,25.982201,25.982201,60135
2020-07-15,26.090000,26.590000,25.971500,26.450001,26.450001,62835
2020-07-22,26.350000,26.830000,26.350000,26.770000,26.770000,49104
2020-07-29,26.879999,27.270000,26.790001,27.170000,27.170000,47992
2020-08-05,27.240000,27.570000,27.170000,27.299999,27.299999,37609
2020-08-12,27.370001,27.514999,27.260000,27.440001,27.440001,112446
2020-08-19,27.490000,27.629999,27.400000,27.590000,27.590000,50992
2020-08-26,27.600000,27.639999,27.420000,27.570000,27.570000,69053
2020-09-02,27.620001,27.620001,26.950001,27.139999,27.139999,33597
2020-09-09,27.180000,27.420000,27.070000,27.150000,27.150000,27028
2020-09-16,27.309999,27.430000,27.070000,27.330000,27.330000,68732
2020-09-23,27.309999,27.510000,26.799999,27.459999,27.459999,121214
2020-09-30,27.459999,28.040001,27.309999,27.940001,27.940001,92382
2020-10-07,28.010000,28.250000,27.910000,28.168400,28.168400,52713
2020-10-14,28.200001,28.230000,27.770000,27.850000,27.850000,51654
2020-10-21,27.900000,27.910000,27.518801,27.666300,27.666300,49267
2020-10-28,27.600000,27.770000,27.260099,27.570000,27.570000,93239
2020-11-04,27.700001,27.969999,27.620001,27.750000,27.750000,81939
2020-11-11,27.740000,28.059999,27.500000,27.920000,27.920000,55024
2020-11-18,27.980000,28.290001,27.799999,28.010000,28.010000,39494
2020-11-25,28.100000,28.280001,28.025000,28.280001,28.280001,14084
2020-12-02,28.299999,28.502800,28.219999,28.475000,28.475000,24830
2020-12-09,28.520000,28.583500,27.980000,28.049999,28.049999,84804
2020-12-16,28.049999,28.360001,28.000000,28.160000,28.160000,74948
2020-12-23,28.219999,28.309999,28.150000,28.290001,28.290001,28932
2020-12-30,28.350000,28.350000,28.129999,28.290001,28.290001,6043
