Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,60.369999,62.270000,60.119999,61.520000,61.520000,9442200
2020-01-08,60.959999,61.009998,59.639999,60.279999,60.279999,12308000
2020-01-15,60.310001,60.650002,58.529999,58.549999,58.549999,14836400
2020-01-22,58.740002,58.750000,56.669998,56.779999,56.779999,17504000
2020-01-29,56.500000,56.570000,51.580002,52.349998,52.349998,24950200
2020-02-05,53.500000,53.619999,51.490002,52.709999,52.709999,19211800
2020-02-12,53.320000,53.779999,50.639999,51.029999,51.029999,14311500
2020-02-19,50.799999,50.990002,45.959999,46.200001,46.200001,30511600
2020-02-26,46.570000,46.830002,42.279999,44.060001,44.060001,44802000
2020-03-04,45.500000,45.660000,34.180000,36.029999,36.029999,44311100
2020-03-11,34.720001,35.130001,23.250000,23.709999,23.709999,90852300
2020-03-18,22.090000,31.020000,19.190001,30.400000,30.400000,85472000
2020-03-25,32.200001,34.700001,29.700001,32.660000,32.660000,58164700
2020-04-01,34.490002,38.200001,32.799999,35.650002,35.650002,42916400
2020-04-08,36.139999,37.779999,35.340000,35.959999,35.959999,23887600
2020-04-15,33.810001,34.480000,31.129999,31.959999,31.959999,40777200
2020-04-22,33.509998,35.279999,33.009998,34.939999,34.939999,22794700
2020-04-29,35.869999,36.970001,29.680000,31.410000,31.410000,44808000
2020-05-06,31.400000,32.110001,30.330000,30.610001,30.610001,19064300
2020-05-13,30.580000,31.139999,27.600000,30.219999,30.219999,29772500
2020-05-20,31.150000,31.520000,29.740000,30.940001,30.940001,18854800
2020-05-27,31.620001,32.430000,29.940001,32.250000,32.250000,24770700
2020-06-03,33.470001,37.660000,33.020000,35.330002,35.330002,28858800
2020-06-10,35.160000,35.169998,31.379999,33.060001,33.060001,24331500
2020-06-17,33.000000,33.450001,31.900000,33.040001,33.040001,12053400
2020-06-24,32.259998,32.259998,29.959999,30.450001,30.450001,22527700
2020-07-01,30.780001,31.889999,30.469999,30.660000,30.660000,18067000
2020-07-08,30.639999,31.430000,29.450001,31.410000,31.410000,17283200
2020-07-15,31.830000,32.020000,30.440001,31.520000,31.520000,13289800
2020-07-22,30.920000,31.010000,30.350000,30.410000,30.410000,15382200
2020-07-29,30.639999,30.750000,28.110001,29.840000,29.840000,19644900
2020-08-05,30.270000,30.980000,29.010000,30.350000,30.350000,15596800
2020-08-12,31.389999,31.570000,29.020000,29.020000,29.020000,14124400
2020-08-19,29.000000,29.250000,27.920000,28.490000,28.490000,13137800
2020-08-26,28.370001,28.700001,27.420000,27.639999,27.639999,14401300
2020-09-02,27.600000,28.010000,26.299999,26.430000,26.430000,18983800
2020-09-09,27.400000,27.490000,26.120001,26.330000,26.330000,16274700
2020-09-16,26.370001,27.040001,24.650000,25.309999,25.309999,22683500
2020-09-23,25.680000,25.790001,24.370001,24.660000,24.660000,20363500
2020-09-30,24.490000,25.230000,22.860001,24.330000,24.330000,20362400
2020-10-07,24.320000,25.870001,24.059999,24.610001,24.610001,16829800
2020-10-14,24.629999,25.120001,23.629999,24.139999,24.139999,14801200
2020-10-21,23.910000,24.790001,22.959999,22.980000,22.980000,12818400
2020-10-28,22.230000,25.950001,21.790001,25.490000,25.490000,30037700
2020-11-04,25.420000,30.150000,24.950001,30.139999,30.139999,21884700
2020-11-11,30.379999,32.090000,28.600000,32.080002,32.080002,19706300
2020-11-18,32.130001,35.630001,30.730000,35.430000,35.430000,25717000
2020-11-25,34.770000,35.220001,32.439999,33.700001,33.700001,15485300
2020-12-02,34.180000,36.599998,34.110001,35.830002,35.830002,12863200
2020-12-09,36.320000,37.119999,34.509998,35.930000,35.930000,15442600
2020-12-16,35.910000,36.910000,33.060001,33.509998,33.509998,23121800
2020-12-23,34.419998,34.990002,34.009998,34.400002,34.400002,9769600
2020-12-30,34.529999,34.770000,34.259998,34.349998,34.349998,2380200
