Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,40.520000,41.139999,39.730000,40.610001,39.065418,45405200
2020-01-08,40.279999,40.439999,38.389999,39.529999,38.026493,57227600
2020-01-15,39.200001,39.970001,36.889999,36.950001,35.544621,59863600
2020-01-22,36.799999,36.820000,33.490002,33.959999,32.668346,63348000
2020-01-29,34.299999,34.730000,33.000000,34.070000,32.774158,57960500
2020-02-05,34.770000,35.660000,33.810001,34.290001,32.985798,43985300
2020-02-12,35.220001,35.380001,32.880001,33.650002,32.848278,40510200
2020-02-19,33.880001,34.709999,29.219999,29.340000,28.640965,57099200
2020-02-26,29.590000,29.740000,25.450001,26.809999,26.171242,115112300
2020-03-04,27.209999,27.379999,12.910000,18.190001,17.756617,182260700
2020-03-11,17.320000,18.139999,13.110000,14.000000,13.666446,160904500
2020-03-18,13.000000,14.930000,11.870000,14.650000,14.300959,136728800
2020-03-25,14.990000,15.870000,12.950000,13.490000,13.168597,119911600
2020-04-01,13.090000,17.700001,12.170000,16.469999,16.077597,137856900
2020-04-08,16.900000,18.600000,15.450000,15.540000,15.169754,78101600
2020-04-15,14.670000,15.740000,13.960000,14.690000,14.340006,119081200
2020-04-22,15.460000,17.400000,14.940000,16.150000,15.765222,99888900
2020-04-29,16.950001,18.250000,15.110000,16.250000,15.862839,103004500
2020-05-06,16.240000,18.100000,15.810000,17.080000,16.673065,66855000
2020-05-13,16.870001,18.090000,15.140000,17.110001,16.702351,74940300
2020-05-20,17.469999,18.670000,17.090000,18.400000,17.961613,53412200
2020-05-27,18.889999,19.360001,17.790001,18.860001,18.410654,71709800
2020-06-03,19.330000,23.740000,19.090000,22.510000,22.123745,99831500
2020-06-10,21.980000,22.059999,17.709999,19.549999,19.214537,81460700
2020-06-17,19.510000,20.959999,19.190001,19.570000,19.234192,81483600
2020-06-24,19.090000,19.200001,17.299999,18.389999,18.074442,88008000
2020-07-01,18.500000,18.930000,17.700001,18.180000,17.868046,45436400
2020-07-08,18.200001,18.610001,16.959999,18.389999,18.074442,56323200
2020-07-15,19.000000,19.920000,18.389999,19.559999,19.224365,64956700
2020-07-22,19.299999,19.730000,18.780001,19.150000,18.821402,72196200
2020-07-29,19.100000,19.480000,17.870001,19.230000,18.900026,58115600
2020-08-05,19.660000,21.270000,19.020000,20.299999,19.951666,47356100
2020-08-12,20.660000,20.760000,19.590000,19.770000,19.430761,46906900
2020-08-19,19.740000,20.129999,18.370001,19.260000,18.929512,46924900
2020-08-26,19.230000,19.540001,18.440001,18.629999,18.310322,52189600
2020-09-02,18.530001,19.680000,17.930000,18.379999,18.184181,58800000
2020-09-09,18.480000,18.740000,17.490000,18.200001,18.006100,55274800
2020-09-16,18.540001,19.389999,17.090000,17.330000,17.145369,69943000
2020-09-23,17.280001,17.620001,15.470000,15.600000,15.433801,72486300
2020-09-30,15.810000,16.559999,14.520000,15.670000,15.503055,73433900
2020-10-07,15.720000,16.600000,15.520000,15.730000,15.562414,59330100
2020-10-14,15.750000,16.510000,14.900000,15.490000,15.324971,110540400
2020-10-21,15.360000,15.780000,14.750000,15.090000,14.929234,80469200
2020-10-28,14.500000,16.049999,13.700000,15.760000,15.592095,83365600
2020-11-04,15.700000,18.910000,15.070000,18.309999,18.114927,93952300
2020-11-11,18.500000,20.100000,17.160000,20.090000,19.875965,73551000
2020-11-18,20.180000,22.500000,19.549999,22.230000,21.993164,73199200
2020-11-25,21.730000,22.309999,20.780001,21.070000,20.845522,52976800
2020-12-02,20.950001,23.500000,20.870001,23.230000,23.121529,56592700
2020-12-09,23.299999,23.889999,21.990000,22.969999,22.862743,68137400
2020-12-16,22.920000,23.120001,21.080000,21.360001,21.260262,67543700
2020-12-23,21.500000,22.299999,21.129999,21.379999,21.280167,26740800
2020-12-30,21.420000,21.980000,21.290001,21.879999,21.777832,7077100
