Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,68.300003,70.580002,67.959999,70.199997,70.199997,3446800
2020-01-08,70.800003,72.949997,70.370003,72.470001,72.470001,8351100
2020-01-15,71.599998,72.720001,71.449997,72.129997,72.129997,3992500
2020-01-22,72.570000,72.750000,71.150002,72.019997,72.019997,4098700
2020-01-29,71.900002,73.860001,69.910004,73.000000,73.000000,5834800
2020-02-05,70.660004,71.550003,69.629997,70.320000,70.320000,5705300
2020-02-12,70.300003,70.790001,66.099998,66.639999,66.639999,5329100
2020-02-19,66.959999,67.370003,63.130001,63.580002,63.580002,7108100
2020-02-26,64.360001,64.830002,59.349998,63.180000,63.180000,10115100
2020-03-04,63.779999,64.949997,58.000000,60.330002,60.330002,8141400
2020-03-11,58.950001,59.349998,50.939999,55.200001,55.200001,8595500
2020-03-18,54.779999,58.099998,51.580002,57.000000,57.000000,11496900
2020-03-25,58.380001,60.599998,56.320000,59.180000,59.180000,6906900
2020-04-01,57.930000,62.900002,56.650002,60.660000,60.660000,5430500
2020-04-08,61.080002,62.450001,59.509998,61.430000,61.430000,5566100
2020-04-15,62.200001,64.440002,61.240002,62.049999,62.049999,12770400
2020-04-22,62.689999,64.040001,61.959999,62.919998,62.919998,5186300
2020-04-29,64.410004,64.849998,61.349998,63.389999,63.389999,4653000
2020-05-06,63.939999,66.400002,63.240002,65.589996,65.589996,4828700
2020-05-13,63.680000,64.559998,62.299999,63.049999,63.049999,9210200
2020-05-20,63.230000,63.849998,62.160000,62.180000,62.180000,5644900
2020-05-27,62.500000,66.820000,62.020000,66.750000,66.750000,7152500
2020-06-03,66.000000,68.800003,65.970001,68.449997,68.449997,7544400
2020-06-10,70.000000,70.599998,66.870003,69.349998,69.349998,9677700
2020-06-17,70.959999,72.339996,70.730003,71.639999,71.639999,5604800
2020-06-24,71.389999,71.480003,68.150002,69.129997,69.129997,3990900
2020-07-01,69.169998,70.949997,69.050003,69.160004,69.160004,4942200
2020-07-08,69.550003,76.639999,68.980003,74.519997,74.519997,5722200
2020-07-15,76.110001,78.500000,75.440002,77.309998,77.309998,5585500
2020-07-22,77.269997,78.610001,75.339996,77.620003,77.620003,2951000
2020-07-29,77.629997,84.150002,76.910004,83.370003,83.370003,6113300
2020-08-05,81.699997,81.790001,79.110001,79.330002,79.330002,5114200
2020-08-12,79.510002,83.900002,79.459999,82.980003,82.980003,6482800
2020-08-19,81.500000,82.070000,78.199997,79.370003,79.370003,5400500
2020-08-26,80.400002,81.209999,78.440002,79.500000,79.500000,4783100
2020-09-02,79.589996,80.000000,75.599998,76.010002,76.010002,4462000
2020-09-09,76.860001,78.260002,76.230003,76.459999,76.459999,4753900
2020-09-16,77.879997,80.169998,76.720001,78.699997,78.699997,5956000
2020-09-23,78.500000,78.540001,76.389999,77.480003,77.480003,3564800
2020-09-30,76.750000,77.440002,73.430000,73.540001,73.540001,4515400
2020-10-07,73.980003,75.180000,73.099998,74.690002,74.690002,4416900
2020-10-14,74.610001,75.870003,72.449997,75.570000,75.570000,5172500
2020-10-21,75.330002,78.290001,74.209999,77.470001,77.470001,4596100
2020-10-28,81.900002,87.250000,79.110001,86.410004,86.410004,9188900
2020-11-04,85.379997,90.879997,85.169998,85.910004,85.910004,7442000
2020-11-11,86.480003,91.099998,86.260002,89.709999,89.709999,6553900
2020-11-18,88.860001,91.550003,88.239998,90.800003,90.800003,4221900
2020-11-25,93.400002,94.820000,91.910004,94.680000,94.680000,4529400
2020-12-02,92.389999,94.410004,92.160004,93.370003,93.370003,4132400
2020-12-09,94.589996,95.050003,93.250000,94.150002,94.150002,5302600
2020-12-16,94.269997,99.529999,94.050003,97.459999,97.459999,5028100
2020-12-23,98.129997,100.830002,96.540001,100.430000,100.430000,2923800
2020-12-30,99.800003,100.949997,99.660004,100.779999,100.779999,616200
