Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,39.160000,39.299999,38.570000,39.250000,36.098061,126910400
2020-01-08,39.330002,39.549999,37.950001,38.090000,35.031216,169286200
2020-01-15,37.970001,38.639999,37.770000,38.520000,35.900860,130745700
2020-01-22,38.680000,39.139999,38.009998,38.580002,35.956783,165677500
2020-01-29,38.500000,38.560001,36.320000,37.630001,35.071373,222539900
2020-02-05,37.730000,38.820000,37.520000,38.169998,35.574657,126571100
2020-02-12,38.189999,38.470001,37.849998,38.259998,35.658535,107599800
2020-02-19,38.240002,38.680000,37.259998,37.349998,34.810410,162018600
2020-02-26,37.189999,37.959999,33.009998,36.299999,33.831806,359928100
2020-03-04,37.020000,38.220001,34.240002,35.849998,33.412407,260880900
2020-03-11,34.849998,35.070000,30.920000,33.740002,31.445877,312618700
2020-03-18,32.000000,32.910000,26.080000,28.090000,26.180042,426768900
2020-03-25,28.080000,30.959999,27.370001,29.150000,27.167969,289895000
2020-04-01,28.379999,30.969999,27.250000,30.080000,28.034735,249675100
2020-04-08,29.950001,31.160000,29.100000,31.129999,29.013338,157213300
2020-04-15,30.629999,31.420000,29.639999,29.870001,28.328737,178529300
2020-04-22,30.900000,31.120001,29.150000,30.650000,29.068489,184588900
2020-04-29,31.129999,31.870001,29.219999,29.740000,28.205446,170553500
2020-05-06,29.820000,29.870001,28.790001,28.889999,27.399303,165400500
2020-05-13,28.799999,29.690001,27.610001,28.959999,27.465693,191512400
2020-05-20,29.270000,31.120001,29.010000,30.820000,29.229719,144591500
2020-05-27,31.740000,32.070000,30.330000,30.990000,29.390945,180247100
2020-06-03,31.299999,33.240002,31.280001,32.619999,30.936838,171802300
2020-06-10,32.570000,32.619999,29.520000,30.780001,29.191782,195330700
2020-06-17,30.780001,30.820000,29.950001,30.250000,28.689129,203309200
2020-06-24,30.030001,30.340000,28.920000,30.230000,28.670162,260069900
2020-07-01,30.129999,30.600000,29.850000,30.320000,28.755518,129922900
2020-07-08,30.459999,30.549999,29.389999,29.959999,28.414093,186788400
2020-07-15,30.070000,30.530001,29.799999,30.250000,29.187403,153751200
2020-07-22,30.160000,30.270000,29.200001,29.690001,28.647076,191901000
2020-07-29,29.670000,30.160000,29.270000,30.010000,28.955835,168841600
2020-08-05,30.150000,30.770000,29.580000,30.200001,29.139162,141823800
2020-08-12,30.360001,30.510000,29.760000,29.790001,28.743563,115561900
2020-08-19,29.809999,30.139999,29.500000,29.900000,28.849699,120001900
2020-08-26,29.830000,30.170000,29.320000,29.469999,28.434803,172328100
2020-09-02,29.370001,30.180000,29.020000,29.510000,28.473398,170725400
2020-09-09,29.629999,29.700001,28.799999,29.120001,28.097097,161340900
2020-09-16,29.129999,29.540001,28.260000,28.510000,27.508526,182003200
2020-09-23,28.549999,28.690001,27.750000,28.299999,27.305902,168742300
2020-09-30,28.379999,29.160000,28.209999,28.709999,27.701498,169053000
2020-10-07,28.920000,28.980000,27.680000,27.750000,26.775223,211452600
2020-10-14,27.709999,27.950001,26.660000,26.760000,26.294765,203593300
2020-10-21,26.770000,28.500000,26.540001,26.920000,26.451982,256579100
2020-10-28,26.700001,27.799999,26.350000,27.459999,26.982594,222883200
2020-11-04,27.209999,28.969999,26.860001,28.850000,28.348429,221703400
2020-11-11,28.969999,29.230000,28.190001,29.030001,28.525301,176186700
2020-11-18,29.049999,29.440001,28.110001,29.230000,28.721823,170983300
2020-11-25,29.280001,29.290001,28.700001,28.870001,28.368082,125543700
2020-12-02,28.820000,30.930000,28.790001,30.809999,30.274353,210411200
2020-12-09,31.000000,31.889999,30.280001,30.580000,30.048351,225290700
2020-12-16,30.530001,30.590000,28.320000,28.400000,27.906252,282500600
2020-12-23,28.500000,28.959999,28.500000,28.540001,28.043819,136691200
2020-12-30,28.540001,28.680000,28.430000,28.490000,27.994688,34347800
