Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,7.090000,7.110000,6.950000,6.960000,6.614924,4928200
2020-01-08,6.890000,6.900000,6.720000,6.730000,6.396327,7973200
2020-01-15,6.690000,7.050000,6.690000,6.980000,6.633933,5098700
2020-01-22,6.940000,6.970000,6.630000,6.890000,6.548395,8637500
2020-01-29,6.820000,6.850000,6.710000,6.800000,6.462857,6420200
2020-02-05,6.770000,6.850000,6.720000,6.730000,6.396327,5662700
2020-02-12,6.850000,7.060000,6.720000,7.040000,6.690958,5736200
2020-02-19,7.020000,7.070000,6.210000,6.230000,5.921117,11773100
2020-02-26,6.280000,6.370000,5.750000,5.830000,5.540949,24106500
2020-03-04,5.950000,6.080000,4.990000,5.190000,4.932681,18316700
2020-03-11,5.060000,5.100000,3.750000,4.870000,4.628546,19860200
2020-03-18,4.650000,5.130000,4.460000,4.820000,4.581025,11248100
2020-03-25,4.770000,4.930000,4.460000,4.570000,4.343420,8819100
2020-04-01,4.510000,4.960000,4.260000,4.790000,4.552513,5801900
2020-04-08,4.780000,4.870000,4.610000,4.790000,4.552513,5926400
2020-04-15,4.570000,4.650000,4.280000,4.320000,4.105815,7029700
2020-04-22,4.430000,4.490000,4.330000,4.430000,4.210361,5224800
2020-04-29,4.570000,4.890000,4.470000,4.810000,4.571521,6134600
2020-05-06,4.770000,4.810000,4.520000,4.660000,4.428958,4070300
2020-05-13,4.660000,4.760000,4.260000,4.280000,4.067799,5958000
2020-05-20,4.370000,4.590000,4.350000,4.480000,4.257882,5296800
2020-05-27,4.590000,5.050000,4.530000,5.030000,4.780613,8589900
2020-06-03,5.170000,5.690000,5.170000,5.520000,5.246319,8186000
2020-06-10,5.570000,5.580000,4.900000,5.350000,5.084748,9899400
2020-06-17,5.140000,5.140000,4.790000,4.860000,4.619042,5926500
2020-06-24,4.810000,4.910000,4.710000,4.820000,4.581025,3574000
2020-07-01,4.730000,4.920000,4.600000,4.610000,4.381437,3989100
2020-07-08,4.610000,4.800000,4.480000,4.790000,4.552513,4491600
2020-07-15,4.710000,4.870000,4.660000,4.760000,4.524000,6171200
2020-07-22,4.750000,4.760000,4.360000,4.450000,4.229370,5174200
2020-07-29,4.490000,4.540000,4.200000,4.370000,4.153336,9552500
2020-08-05,4.320000,4.380000,4.090000,4.280000,4.067799,9134700
2020-08-12,4.410000,4.420000,4.230000,4.240000,4.029781,4517100
2020-08-19,4.290000,4.320000,4.080000,4.150000,3.944244,8780300
2020-08-26,4.100000,4.110000,3.840000,3.850000,3.659117,8266700
2020-09-02,3.850000,3.990000,3.800000,3.840000,3.649613,7629400
2020-09-09,3.900000,3.950000,3.800000,3.840000,3.649613,9219900
2020-09-16,3.800000,3.840000,3.500000,3.550000,3.373991,10497200
2020-09-23,3.530000,3.550000,3.400000,3.410000,3.240933,11245600
2020-09-30,3.470000,3.920000,3.390000,3.830000,3.640109,13991800
2020-10-07,3.800000,3.880000,3.620000,3.640000,3.459529,10689300
2020-10-14,3.680000,3.700000,3.540000,3.640000,3.459529,8773200
2020-10-21,3.580000,3.720000,3.550000,3.570000,3.393000,6477700
2020-10-28,3.510000,3.550000,3.220000,3.440000,3.269445,11717200
2020-11-04,3.350000,4.070000,3.310000,4.060000,3.858706,10621300
2020-11-11,3.960000,4.220000,3.920000,4.210000,4.001269,8027400
2020-11-18,4.230000,4.410000,3.920000,4.380000,4.162840,31456100
2020-11-25,4.470000,4.530000,4.380000,4.480000,4.257882,11002800
2020-12-02,4.460000,4.740000,4.430000,4.600000,4.371933,12617500
2020-12-09,4.690000,4.760000,4.220000,4.270000,4.058294,11647000
2020-12-16,4.240000,4.250000,3.890000,3.930000,3.930000,9133700
2020-12-23,4.010000,4.140000,4.000000,4.070000,4.070000,6822100
2020-12-30,4.060000,4.090000,4.030000,4.030000,4.030000,1505200
