Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,61.330002,61.700001,60.770000,61.590000,61.131981,18229100
2020-01-08,61.730000,63.029999,61.730000,62.720001,62.253578,21899200
2020-01-15,62.570000,62.980000,61.709999,62.299999,61.836700,19608000
2020-01-22,62.779999,63.009998,60.169998,61.299999,60.844135,18106400
2020-01-29,61.689999,61.869999,58.840000,61.279999,60.824287,25575100
2020-02-05,62.000000,62.560001,61.139999,62.459999,61.995510,20609100
2020-02-12,62.790001,63.889999,62.389999,63.459999,62.988071,18470500
2020-02-19,63.580002,64.300003,59.619999,59.720001,59.494972,25036800
2020-02-26,64.120003,64.949997,58.139999,60.610001,60.381618,60501900
2020-03-04,61.090000,62.439999,54.799999,57.970001,57.751564,50181300
2020-03-11,56.730000,57.349998,39.000000,42.509998,42.349815,69223300
2020-03-18,39.270000,43.000000,32.720001,41.040001,40.885357,90041300
2020-03-25,42.410000,48.759998,42.250000,47.810001,47.629848,74972800
2020-04-01,44.279999,50.430000,40.720001,46.680000,46.504105,57454500
2020-04-08,47.340000,51.240002,47.040001,50.220001,50.030769,39508600
2020-04-15,47.799999,49.980000,45.639999,46.049999,45.876480,56831400
2020-04-22,46.990002,50.810001,44.869999,49.090000,48.905025,49409700
2020-04-29,52.240002,52.810001,46.720001,48.169998,47.988491,49650600
2020-05-06,48.520000,49.459999,45.919998,45.959999,45.786819,34206000
2020-05-13,45.770000,51.320000,42.520000,50.259998,50.070614,70940000
2020-05-20,50.740002,55.680000,50.400002,55.299999,55.091625,58560600
2020-05-27,56.330002,56.680000,52.360001,54.340000,54.135242,51016600
2020-06-03,54.660000,58.540001,54.430000,56.240002,56.028084,50263600
2020-06-10,56.290001,56.860001,50.110001,55.549999,55.340683,49751000
2020-06-17,55.650002,55.990002,51.820000,53.250000,53.049351,42476200
2020-06-24,52.500000,52.880001,48.730000,50.560001,50.369488,36167500
2020-07-01,50.529999,52.990002,50.430000,50.799999,50.608582,28629700
2020-07-08,50.820000,51.950001,49.180000,49.860001,49.672123,31013400
2020-07-15,51.709999,53.750000,51.439999,53.070000,52.870026,29838300
2020-07-22,52.570000,53.939999,51.689999,51.779999,51.584888,20796100
2020-07-29,51.930000,53.279999,50.919998,53.279999,53.079235,25925400
2020-08-05,53.480000,58.439999,52.830002,57.509998,57.293297,33952000
2020-08-12,57.779999,59.540001,56.580002,57.450001,57.233524,30524600
2020-08-19,54.009998,54.810001,51.520000,53.160000,52.959690,82629400
2020-08-26,53.020000,55.830002,52.820000,55.270000,55.061737,35976200
2020-09-02,55.400002,57.049999,54.209999,55.299999,55.091625,32112500
2020-09-09,55.080002,57.250000,53.549999,56.860001,56.645748,32540700
2020-09-16,57.230000,58.150002,53.240002,53.880001,53.676975,30807500
2020-09-23,54.439999,55.880001,51.799999,54.160000,53.955921,30732500
2020-09-30,54.619999,58.459999,54.580002,56.610001,56.396690,26115500
2020-10-07,57.480000,59.160000,57.200001,57.389999,57.173748,24263300
2020-10-14,57.630001,58.340000,54.869999,54.930000,54.723019,25655700
2020-10-21,54.950001,57.029999,53.950001,54.130001,53.926033,19889500
2020-10-28,52.900002,54.310001,50.060001,53.990002,53.786564,35095600
2020-11-04,53.910000,62.950001,53.200001,62.259998,62.025398,45448200
2020-11-11,61.810001,62.110001,58.230000,61.139999,60.909618,41354800
2020-11-18,62.630001,65.139999,60.400002,64.330002,64.087601,58526000
2020-11-25,63.400002,65.160004,61.799999,64.879997,64.635521,48789500
2020-12-02,64.519997,66.760002,64.199997,65.419998,65.173492,29547800
2020-12-09,66.129997,66.949997,65.309998,66.739998,66.488518,34408400
2020-12-16,67.129997,68.099998,66.139999,66.970001,66.717651,46379600
2020-12-23,67.419998,68.889999,66.589996,67.989998,67.733803,11746700
2020-12-30,67.989998,68.769997,67.989998,68.300003,68.042641,4476100
