Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,32.310001,32.700001,31.160000,32.540001,32.540001,51446000
2020-01-08,32.349998,33.540001,32.349998,32.820000,32.820000,57462300
2020-01-15,32.990002,34.389999,32.950001,34.090000,34.090000,67541300
2020-01-22,34.290001,34.540001,32.150002,33.419998,33.419998,61615800
2020-01-29,33.590000,34.119999,32.080002,33.959999,33.959999,60469700
2020-02-05,34.000000,39.639999,33.189999,35.650002,35.650002,188588000
2020-02-12,36.189999,38.070000,36.169998,38.060001,38.060001,69341800
2020-02-19,38.090000,39.060001,34.889999,35.209999,35.209999,96650700
2020-02-26,35.279999,36.860001,31.510000,34.930000,34.930000,141644400
2020-03-04,35.759998,36.000000,30.620001,34.310001,34.310001,118568800
2020-03-11,33.299999,33.459999,23.180000,24.480000,24.480000,146533800
2020-03-18,22.950001,26.459999,20.000000,25.850000,25.850000,143941900
2020-03-25,25.850000,27.459999,24.400000,24.559999,24.559999,113957600
2020-04-01,23.700001,26.860001,22.360001,25.610001,25.610001,114017500
2020-04-08,26.790001,29.049999,25.920000,27.940001,27.940001,82300100
2020-04-15,27.100000,27.920000,25.059999,25.750000,25.750000,103747400
2020-04-22,27.000000,30.450001,26.450001,28.790001,28.790001,109355600
2020-04-29,30.059999,31.500000,27.190001,28.070000,28.070000,163827200
2020-05-06,28.350000,30.080000,27.549999,29.150000,29.150000,78486100
2020-05-13,29.240000,30.350000,27.120001,29.879999,29.879999,80864200
2020-05-20,30.500000,34.270000,30.450001,34.009998,34.009998,83637200
2020-05-27,33.630001,34.000000,30.290001,32.259998,32.259998,131121100
2020-06-03,32.610001,36.939999,32.439999,35.919998,35.919998,109925500
2020-06-10,36.119999,36.439999,32.470001,34.630001,34.630001,95392600
2020-06-17,34.490002,34.950001,32.730000,32.910000,32.910000,75601100
2020-06-24,32.529999,33.060001,28.230000,29.790001,29.790001,139433800
2020-07-01,30.150000,33.669998,30.059999,32.990002,32.990002,85673600
2020-07-08,33.200001,36.980000,32.730000,34.380001,34.380001,200556000
2020-07-15,35.119999,38.500000,34.000000,37.009998,37.009998,95629300
2020-07-22,36.970001,40.259998,36.090000,36.610001,36.610001,167998300
2020-07-29,36.970001,37.330002,35.650002,36.349998,36.349998,65382300
2020-08-05,36.560001,39.169998,36.410000,37.279999,37.279999,81628400
2020-08-12,37.500000,38.459999,36.820000,38.009998,38.009998,53407200
2020-08-19,38.090000,40.799999,38.060001,40.549999,40.549999,67548300
2020-08-26,40.549999,41.330002,40.000000,41.150002,41.150002,51548200
2020-09-02,41.520000,44.090000,38.099998,38.189999,38.189999,79503100
2020-09-09,38.849998,40.400002,38.230000,39.090000,39.090000,54565200
2020-09-16,39.389999,42.830002,38.599998,42.730000,42.730000,87298300
2020-09-23,43.880001,46.820000,42.590000,44.740002,44.740002,133290500
2020-09-30,44.619999,47.869999,43.950001,45.599998,45.599998,71976200
2020-10-07,46.070000,48.650002,45.660000,47.000000,47.000000,73016900
2020-10-14,47.490002,47.700001,44.299999,46.349998,46.349998,66657200
2020-10-21,48.970001,51.509998,48.110001,51.270000,51.270000,106016600
2020-10-28,49.599998,52.930000,38.930000,41.730000,41.730000,243587000
2020-11-04,42.230000,45.180000,40.810001,42.410000,42.410000,106881400
2020-11-11,42.970001,44.150002,42.360001,42.849998,42.849998,53842000
2020-11-18,42.939999,45.570000,42.799999,45.230000,45.230000,60354200
2020-11-25,44.970001,47.270000,44.849998,46.669998,46.669998,39262700
2020-12-02,46.360001,48.340000,45.930000,47.430000,47.430000,38896400
2020-12-09,47.480000,53.480000,46.540001,52.820000,52.820000,79699100
2020-12-16,54.770000,56.110001,53.580002,54.910000,54.910000,80898200
2020-12-23,55.340000,55.450001,53.549999,54.360001,54.360001,23144100
2020-12-30,54.689999,54.910000,54.139999,54.330002,54.330002,5329500
