Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,57.130001,57.320000,56.000000,56.080002,54.300816,3279700
2020-01-08,55.410000,56.590000,55.410000,56.330002,54.542881,5653500
2020-01-15,56.830002,57.860001,56.590000,57.860001,56.024342,3388300
2020-01-22,57.660000,59.240002,57.209999,58.959999,57.089439,11543500
2020-01-29,57.759998,60.169998,57.610001,59.720001,57.825333,5284900
2020-02-05,60.060001,60.970001,59.930000,60.860001,58.929165,3147500
2020-02-12,60.560001,60.759998,60.080002,60.560001,58.638683,3386200
2020-02-19,60.090000,60.299999,56.680000,56.779999,54.978600,3559200
2020-02-26,56.570000,57.060001,52.660000,55.939999,54.576740,11360600
2020-03-04,57.110001,58.380001,52.700001,55.020000,53.679161,8499000
2020-03-11,53.619999,53.779999,44.439999,50.380001,49.152237,13725800
2020-03-18,48.160000,52.410000,44.060001,47.500000,46.342422,14566400
2020-03-25,47.029999,51.330002,46.310001,50.570000,49.337608,12219400
2020-04-01,49.369999,52.169998,49.130001,50.509998,49.279068,7978700
2020-04-08,51.250000,53.560001,50.639999,53.290001,51.991325,5113400
2020-04-15,51.880001,54.349998,51.599998,52.759998,51.474239,10779400
2020-04-22,53.169998,53.240002,50.919998,50.970001,49.727863,6211600
2020-04-29,51.830002,52.720001,50.310001,50.610001,49.376633,6473200
2020-05-06,50.700001,52.669998,49.750000,51.880001,50.615685,7386500
2020-05-13,52.169998,52.639999,50.419998,50.669998,49.435169,6852100
2020-05-20,51.320000,51.720001,50.230000,51.080002,50.267181,4514100
2020-05-27,50.779999,54.799999,50.759998,54.650002,53.780373,7324900
2020-06-03,55.189999,56.750000,55.099998,55.599998,54.715248,4433900
2020-06-10,56.450001,56.689999,53.869999,56.290001,55.394276,12049600
2020-06-17,56.849998,58.209999,56.590000,57.209999,56.299633,6598300
2020-06-24,57.209999,57.250000,54.380001,54.880001,54.006710,5131000
2020-07-01,54.700001,56.090000,54.360001,54.590000,53.721325,2764300
2020-07-08,54.209999,55.209999,53.560001,55.000000,54.124798,6538600
2020-07-15,55.650002,56.320000,54.970001,55.560001,54.675892,3923200
2020-07-22,55.860001,61.660000,55.299999,61.230000,60.255665,5107600
2020-07-29,62.639999,62.639999,59.919998,61.750000,60.767391,4141600
2020-08-05,62.080002,62.250000,58.689999,58.779999,57.844650,3880800
2020-08-12,59.799999,60.500000,59.299999,60.049999,59.550953,4323900
2020-08-19,60.610001,60.630001,58.810001,60.180000,59.679874,2925200
2020-08-26,60.009998,61.250000,59.070000,59.639999,59.144360,3271600
2020-09-02,60.330002,61.209999,58.459999,59.669998,59.174110,3644200
2020-09-09,61.459999,62.939999,61.080002,62.470001,61.950844,5771500
2020-09-16,62.689999,62.799999,59.320000,60.509998,60.007130,5506600
2020-09-23,61.439999,62.250000,59.980000,61.910000,61.395496,4066400
2020-09-30,62.020000,63.020000,61.410000,61.730000,61.216991,3978900
2020-10-07,61.759998,63.500000,61.730000,63.189999,62.664860,5233000
2020-10-14,63.400002,63.889999,61.759998,62.459999,61.940926,5247100
2020-10-21,61.799999,62.369999,60.330002,60.990002,60.483143,5984500
2020-10-28,59.090000,59.520000,56.400002,58.959999,58.470013,7868500
2020-11-04,59.570000,63.240002,59.419998,61.919998,61.919998,6456200
2020-11-11,62.680000,63.450001,60.259998,60.279999,60.279999,5323300
2020-11-18,60.220001,60.470001,57.689999,58.110001,58.110001,7526800
2020-11-25,60.389999,61.599998,59.299999,59.770000,59.770000,13619800
2020-12-02,58.720001,59.139999,57.400002,58.570000,58.570000,13864400
2020-12-09,58.220001,59.099998,57.900002,58.320000,58.320000,11123700
2020-12-16,58.470001,59.520000,57.119999,58.020000,58.020000,10783000
2020-12-23,58.299999,60.419998,58.070000,60.130001,60.130001,5046600
2020-12-30,60.509998,61.230000,60.480000,60.900002,60.900002,1738900
