Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,180.949997,182.380005,177.610001,178.070007,174.342041,12027900
2020-01-08,177.889999,182.729996,177.479996,180.800003,177.014908,13914000
2020-01-15,181.630005,185.649994,180.630005,182.460007,178.640152,14127600
2020-01-22,183.270004,188.960007,178.300003,179.639999,175.879181,18126800
2020-01-29,181.600006,185.020004,178.500000,183.240005,179.403839,13269900
2020-02-05,185.850006,187.669998,181.580002,183.300003,179.462570,10591800
2020-02-12,184.820007,185.960007,181.660004,182.100006,178.287689,9772900
2020-02-19,182.979996,185.500000,170.009995,170.889999,167.312378,22305600
2020-02-26,169.630005,172.820007,152.789993,157.339996,154.046051,32615200
2020-03-04,159.850006,162.979996,133.179993,146.820007,144.592468,31450700
2020-03-11,142.020004,143.850006,120.379997,128.630005,126.678444,38890800
2020-03-18,120.769997,130.110001,105.080002,128.869995,126.914795,39082200
2020-03-25,127.379997,144.710007,127.000000,141.039993,138.900162,25510500
2020-04-01,134.029999,153.509995,132.500000,145.759995,143.548538,24817500
2020-04-08,147.520004,153.190002,144.699997,148.970001,146.709854,12922400
2020-04-15,145.259995,150.850006,141.220001,144.410004,142.219025,21892100
2020-04-22,146.529999,162.460007,144.869995,161.360001,158.911865,22810900
2020-04-29,165.160004,166.229996,152.389999,156.380005,154.007431,14310200
2020-05-06,156.580002,159.360001,153.889999,153.990005,151.653687,12356900
2020-05-13,152.940002,162.910004,147.050003,159.259995,156.843719,21117200
2020-05-20,165.000000,171.009995,162.160004,169.899994,167.322296,12495800
2020-05-27,171.860001,174.080002,167.779999,170.940002,168.346512,16846900
2020-06-03,173.639999,187.830002,173.020004,178.160004,176.441483,19446100
2020-06-10,177.850006,178.759995,161.410004,170.970001,169.320847,19431500
2020-06-17,172.199997,173.550003,165.899994,169.360001,167.726364,18827200
2020-06-24,167.710007,170.210007,162.130005,169.070007,167.439163,21865900
2020-07-01,169.490005,172.360001,166.229996,169.779999,168.142319,10064400
2020-07-08,169.589996,172.589996,164.669998,171.889999,170.231964,14631600
2020-07-15,174.770004,182.520004,173.419998,178.660004,176.936676,17062000
2020-07-22,177.339996,180.490005,172.839996,174.410004,172.727661,14386200
2020-07-29,174.440002,178.380005,167.570007,173.679993,172.004684,14304100
2020-08-05,174.470001,193.889999,174.279999,190.350006,188.513916,14799000
2020-08-12,191.860001,195.089996,189.089996,190.699997,188.860535,12873800
2020-08-19,191.630005,195.089996,188.080002,194.899994,193.020004,9950700
2020-08-26,193.750000,196.190002,191.089996,195.800003,193.911331,8848500
2020-09-02,196.089996,197.960007,188.500000,188.660004,187.776962,13892400
2020-09-09,190.190002,202.850006,190.130005,202.369995,201.422791,10740100
2020-09-16,203.740005,205.779999,190.729996,197.320007,196.396439,14615800
2020-09-23,198.100006,202.199997,192.940002,197.240005,196.316803,9981700
2020-09-30,198.130005,204.000000,190.869995,199.410004,198.476654,16764700
2020-10-07,201.080002,208.820007,201.000000,203.000000,202.049850,9577300
2020-10-14,203.610001,210.949997,201.110001,206.779999,205.812149,11650600
2020-10-21,200.050003,202.270004,178.070007,179.570007,178.729523,24166200
2020-10-28,175.789993,186.960007,171.500000,185.380005,184.512314,21538100
2020-11-04,189.619995,207.779999,186.399994,201.259995,200.317978,19157200
2020-11-11,201.580002,209.940002,197.740005,205.850006,204.886505,13897200
2020-11-18,205.139999,211.139999,200.630005,208.699997,207.723160,10979700
2020-11-25,208.600006,208.600006,202.130005,202.399994,201.452652,10494400
2020-12-02,201.899994,206.699997,201.429993,205.210007,205.210007,13923700
2020-12-09,203.830002,206.990005,197.460007,200.300003,200.300003,10185800
2020-12-16,200.839996,204.490005,198.610001,201.520004,201.520004,14198700
2020-12-23,202.830002,206.830002,200.479996,204.419998,204.419998,6004700
2020-12-30,204.869995,206.500000,204.610001,205.979996,205.979996,1279700
