Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,61.380001,61.450001,59.580002,59.599998,56.497616,54098700
2020-01-08,59.669998,60.099998,58.759998,59.040001,55.966766,74703300
2020-01-15,59.250000,60.470001,58.869999,60.320000,57.775211,49454200
2020-01-22,60.450001,61.000000,59.619999,60.700001,58.139179,56988700
2020-01-29,60.849998,60.919998,57.650002,58.290001,55.830856,73907700
2020-02-05,58.529999,60.349998,58.259998,58.689999,56.213982,60732100
2020-02-12,58.580002,58.860001,57.810001,57.910000,55.466885,61964300
2020-02-19,58.130001,58.689999,56.860001,57.119999,54.710213,84001500
2020-02-26,57.380001,58.049999,52.180000,55.700001,53.350121,146828400
2020-03-04,56.610001,58.250000,53.919998,56.520000,54.135529,127580200
2020-03-11,55.360001,55.529999,49.020000,54.310001,52.018764,183390400
2020-03-18,53.990002,55.930000,49.130001,49.990002,47.881016,197308100
2020-03-25,49.360001,55.029999,48.840000,53.730000,51.463234,138437800
2020-04-01,52.500000,57.880001,52.160000,56.980000,54.576118,98514900
2020-04-08,57.259998,58.400002,56.360001,58.139999,55.687180,67671400
2020-04-15,57.560001,58.910000,56.709999,56.820000,55.008163,79489600
2020-04-22,57.410000,58.660000,56.830002,57.830002,55.985962,73203900
2020-04-29,58.380001,58.599998,55.799999,56.509998,54.708050,71943900
2020-05-06,56.360001,57.029999,55.180000,55.459999,53.691528,63398300
2020-05-13,55.160000,56.200001,53.849998,54.380001,52.645973,80844000
2020-05-20,54.540001,55.250000,53.669998,54.299999,52.568520,80396900
2020-05-27,54.610001,57.790001,54.430000,56.400002,54.601559,102204000
2020-06-03,56.520000,58.200001,56.299999,57.860001,56.015003,78833400
2020-06-10,57.900002,58.230000,55.279999,56.919998,55.104977,84038700
2020-06-17,57.139999,57.470001,54.910000,54.939999,53.188110,81590100
2020-06-24,54.540001,55.290001,52.849998,55.130001,53.372059,105474100
2020-07-01,55.090000,55.430000,54.580002,55.040001,53.284927,53196900
2020-07-08,55.110001,55.650002,53.750000,55.439999,53.672169,79560100
2020-07-15,55.610001,56.599998,54.759998,55.840000,54.666492,64081100
2020-07-22,55.840000,57.700001,55.369999,57.480000,56.272030,71685300
2020-07-29,57.369999,58.139999,56.650002,57.910000,56.692993,63274900
2020-08-05,58.160000,59.610001,57.410000,58.509998,57.280380,57913100
2020-08-12,58.599998,59.470001,58.189999,59.180000,57.936302,45451000
2020-08-19,59.360001,59.750000,58.540001,59.419998,58.171257,52185400
2020-08-26,59.299999,59.790001,58.779999,59.160000,57.916721,66290500
2020-09-02,59.150002,61.500000,59.000000,59.959999,58.699909,85558500
2020-09-09,60.119999,61.099998,59.360001,60.599998,59.326462,67009000
2020-09-16,60.529999,60.990002,59.020000,59.820000,58.562851,78350000
2020-09-23,59.830002,60.139999,58.650002,59.240002,57.995045,58884200
2020-09-30,59.459999,59.970001,59.029999,59.459999,58.210419,64619600
2020-10-07,59.619999,59.779999,58.849998,59.360001,58.112522,80108100
2020-10-14,59.459999,59.520000,56.759998,57.250000,56.643608,78376700
2020-10-21,57.110001,57.970001,56.509998,57.380001,56.772232,78463800
2020-10-28,56.919998,58.380001,56.020000,57.750000,57.138313,82279000
2020-11-04,57.189999,61.410000,56.580002,61.099998,60.452827,99246000
2020-11-11,61.290001,61.459999,60.340000,60.750000,60.106537,62130600
2020-11-18,61.130001,61.150002,59.900002,60.639999,59.997700,65670000
2020-11-25,60.669998,60.919998,60.189999,60.580002,59.938339,52490300
2020-12-02,61.400002,61.950001,60.880001,61.450001,60.799122,62561500
2020-12-09,61.450001,61.820000,59.770000,60.549999,59.908653,75670600
2020-12-16,60.200001,60.779999,58.860001,58.990002,58.365181,92689800
2020-12-23,59.200001,59.279999,58.639999,58.810001,58.187088,52804900
2020-12-30,58.830002,58.939999,58.060001,58.139999,57.524181,18259800
