Date,Open,High,Low,Close,Adj Close,Volume
2020-01-01,70.239998,71.370003,69.510002,70.290001,64.004662,67312900
2020-01-08,70.110001,70.290001,68.629997,69.199997,63.012127,68160000
2020-01-15,69.199997,69.589996,67.510002,67.580002,61.536987,60857300
2020-01-22,67.559998,67.699997,64.629997,64.650002,58.868992,95773300
2020-01-29,65.029999,65.129997,59.889999,59.970001,54.607475,126349800
2020-02-05,60.750000,63.009998,59.619999,60.529999,55.117397,99110300
2020-02-12,61.340000,61.529999,59.450001,59.880001,55.308319,64615300
2020-02-19,60.110001,60.619999,53.970001,54.200001,50.061974,116448900
2020-02-26,54.549999,54.820000,48.009998,51.299999,47.383381,229119000
2020-03-04,52.230000,52.480000,40.799999,43.410000,40.095757,253850500
2020-03-11,42.389999,43.480000,33.250000,36.810001,33.999653,287732000
2020-03-18,34.549999,36.709999,30.110001,35.439999,32.734245,298771500
2020-03-25,36.509998,39.560001,35.180000,37.970001,35.071091,242214900
2020-04-01,36.860001,43.320000,36.340000,41.240002,38.091438,236695500
2020-04-08,41.950001,46.709999,41.470001,42.430000,39.190582,153984600
2020-04-15,41.000000,43.320000,38.930000,40.959999,37.832809,188530500
2020-04-22,42.599998,45.389999,41.860001,44.970001,41.536659,145842200
2020-04-29,46.259998,47.680000,42.220001,44.830002,41.407349,158719900
2020-05-06,44.930000,46.220001,43.900002,44.119999,40.751556,112515100
2020-05-13,43.740002,46.630001,40.200001,43.939999,41.372215,131947700
2020-05-20,44.619999,46.299999,43.450001,45.910000,43.227093,74246000
2020-05-27,46.660000,47.450001,44.369999,47.310001,44.545284,107722500
2020-06-03,48.000000,55.360001,47.950001,53.520000,50.392380,144334600
2020-06-10,53.500000,53.500000,44.750000,48.200001,45.383274,155450600
2020-06-17,48.000000,48.259998,45.400002,46.700001,43.970928,126140000
2020-06-24,45.910000,45.959999,43.160000,44.720001,42.106636,117704800
2020-07-01,44.490002,45.380001,43.110001,43.240002,40.713127,75606300
2020-07-08,43.150002,44.189999,41.099998,44.070000,41.494621,104596800
2020-07-15,45.029999,45.189999,42.480000,44.650002,42.040730,97352500
2020-07-22,44.150002,44.419998,42.970001,43.549999,41.005009,93433500
2020-07-29,43.709999,44.090000,40.910000,43.470001,40.929684,116924900
2020-08-05,44.150002,46.419998,42.810001,44.970001,42.342026,103993900
2020-08-12,44.459999,44.939999,42.290001,42.430000,39.950462,82011900
2020-08-19,42.349998,42.660000,40.700001,40.880001,39.250389,105163800
2020-08-26,40.639999,40.919998,39.049999,39.430000,37.858189,140044200
2020-09-02,39.230000,40.029999,37.349998,38.180000,36.658020,118359500
2020-09-09,38.349998,38.840000,36.209999,36.270000,34.824158,136960000
2020-09-16,36.459999,38.150002,35.470001,35.529999,34.113655,165095900
2020-09-23,35.650002,35.900002,33.759998,34.279999,32.913483,125700400
2020-09-30,34.639999,34.919998,32.209999,33.389999,32.058964,141505200
2020-10-07,33.639999,35.950001,33.209999,34.220001,32.855881,126329500
2020-10-14,34.060001,34.830002,33.270000,33.700001,32.356606,110321700
2020-10-21,33.509998,35.080002,32.700001,32.820000,31.511684,145869300
2020-10-28,32.099998,34.490002,31.110001,33.410000,32.078163,205548200
2020-11-04,33.270000,38.009998,32.529999,36.860001,35.390636,226154600
2020-11-11,37.090000,38.709999,34.869999,38.669998,38.024261,159417600
2020-11-18,39.020000,42.080002,36.560001,41.980000,41.278992,152720300
2020-11-25,41.669998,41.709999,37.970001,38.500000,37.857101,121267500
2020-12-02,38.389999,42.590000,38.340000,42.240002,41.534649,142605200
2020-12-09,42.709999,44.470001,42.060001,43.040001,42.321289,159197000
2020-12-16,43.750000,44.110001,40.529999,41.240002,40.551350,151736800
2020-12-23,41.509998,42.549999,41.200001,41.270000,40.580849,71290100
2020-12-30,41.330002,42.419998,41.270000,41.599998,40.905334,23807300
